 << U.S. Geological Survey Borehole Temperature Log - Alaska >>
  
 Site:             KOL 
 Log Date:         84JUL30 
 Type of Log:      continuous  
 Type of Sensor:   thermistor network (custom)
 Measuring Device: digital multimeter
 Deconvolved:      no 
  
  Z   = measured depth (m)
  TVD = true vertical depth (m)
  T   = temperature (C)
  
        Z      TVD       T
      3.35   999.99   -3.438
      3.66   999.99   -3.560
      3.96   999.99   -3.644
      4.27   999.99   -3.731
      4.57   999.99   -3.840
      4.88   999.99   -3.921
      5.18   999.99   -4.013
      5.49   999.99   -4.117
      5.79   999.99   -4.190
      6.10   999.99   -4.278
      6.40   999.99   -4.370
      6.71   999.99   -4.447
      7.01   999.99   -4.533
      7.32   999.99   -4.624
      7.62   999.99   -4.704
      7.92   999.99   -4.795
      8.23   999.99   -4.880
      8.53   999.99   -4.959
      8.84   999.99   -5.736
      9.14   999.99   -6.436
      9.45   999.99   -6.311
      9.75   999.99   -6.672
     10.06   999.99   -6.950
     10.36   999.99   -7.188
     10.67   999.99   -7.346
     10.97   999.99   -7.455
     11.28   999.99   -7.510
     11.58   999.99   -7.545
     11.89   999.99   -7.567
     12.19   999.99   -7.583
     12.50   999.99   -7.592
     12.80   999.99   -7.592
     13.11   999.99   -7.584
     13.41   999.99   -7.580
     13.72   999.99   -7.570
     14.02   999.99   -7.558
     14.33   999.99   -7.542
     14.63   999.99   -7.527
     14.94   999.99   -7.513
     15.24   999.99   -7.500
     15.54   999.99   -7.484
     15.85   999.99   -7.472
     16.15   999.99   -7.459
     16.46   999.99   -7.445
     16.76   999.99   -7.431
     17.07   999.99   -7.417
     17.37   999.99   -7.406
     17.68   999.99   -7.397
     17.98   999.99   -7.388
     18.29   999.99   -7.377
     18.59   999.99   -7.370
     18.90   999.99   -7.363
     19.20   999.99   -7.357
     19.51   999.99   -7.353
     19.81   999.99   -7.349
     20.12   999.99   -7.345
     20.42   999.99   -7.343
     20.73   999.99   -7.340
     21.03   999.99   -7.338
     21.34   999.99   -7.336
     21.64   999.99   -7.334
     21.95   999.99   -7.334
     22.25   999.99   -7.332
     22.56   999.99   -7.332
     22.86   999.99   -7.332
     23.16   999.99   -7.330
     23.47   999.99   -7.330
     23.77   999.99   -7.330
     24.08   999.99   -7.330
     24.38   999.99   -7.329
     24.69   999.99   -7.329
     24.99   999.99   -7.329
     25.30   999.99   -7.327
     25.60   999.99   -7.327
     25.91   999.99   -7.329
     26.21   999.99   -7.330
     26.52   999.99   -7.333
     26.82   999.99   -7.337
     27.13   999.99   -7.342
     27.43   999.99   -7.345
     27.74   999.99   -7.349
     28.04   999.99   -7.353
     28.35   999.99   -7.358
     28.65   999.99   -7.363
     28.96   999.99   -7.366
     29.26   999.99   -7.369
     29.57   999.99   -7.371
     29.87   999.99   -7.372
     30.18   999.99   -7.374
     30.48   999.99   -7.375
     30.78   999.99   -7.376
     31.09   999.99   -7.376
     31.39   999.99   -7.377
     31.70   999.99   -7.377
     32.00   999.99   -7.377
     32.31   999.99   -7.377
     32.61   999.99   -7.378
     32.92   999.99   -7.378
     33.22   999.99   -7.378
     33.53   999.99   -7.379
     33.83   999.99   -7.379
     34.14   999.99   -7.379
     34.44   999.99   -7.378
     34.75   999.99   -7.377
     35.05   999.99   -7.377
     35.36   999.99   -7.376
     35.66   999.99   -7.351
     35.97   999.99   -7.297
     36.27   999.99   -7.289
     36.58   999.99   -7.298
     36.88   999.99   -7.312
     37.19   999.99   -7.321
     37.49   999.99   -7.329
     37.80   999.99   -7.336
     38.10   999.99   -7.342
     38.40   999.99   -7.346
     38.71   999.99   -7.347
     39.01   999.99   -7.348
     39.32   999.99   -7.349
     39.62   999.99   -7.348
