 << U.S. Geological Survey Borehole Temperature Log - Alaska >>
  
 Site:             KOL 
 Log Date:         81AUG23 
 Type of Log:      incremental 
 Type of Sensor:   thermistor network (custom)
 Measuring Device: digital multimeter
 Deconvolved:      N/A
  
  Z   = measured depth (m)
  TVD = true vertical depth (m)
  T   = temperature (C)
  
        Z      TVD       T
     18.29   999.99   -6.379
     21.34   999.99   -6.398
     24.38   999.99   -6.458
     27.43   999.99   -6.635
     30.48   999.99   -6.716
     33.53   999.99   -6.692
     36.58   999.99   -6.622
     39.62   999.99   -6.549
     42.67   999.99   -6.453
     45.72   999.99   -6.410
     48.77   999.99   -6.374
     51.82   999.99   -6.296
     54.86   999.99   -6.242
     57.91   999.99   -6.150
     60.96   999.99   -6.017
     64.01   999.99   -5.902
     67.06   999.99   -5.814
     70.10   999.99   -5.763
     73.15   999.99   -5.679
     76.20   999.99   -5.612
     79.25   999.99   -5.574
     82.30   999.99   -5.517
     85.34   999.99   -5.415
     88.39   999.99   -5.332
     91.44   999.99   -5.244
     94.49   999.99   -5.151
     97.54   999.99   -5.073
    100.58   999.99   -4.993
    103.63   999.99   -4.909
    106.68   999.99   -4.824
    109.73   999.99   -4.707
    112.78   999.99   -4.594
    115.82   999.99   -4.512
    118.87   999.99   -4.411
    121.92   999.99   -4.289
    124.97   999.99   -4.175
    128.02   999.99   -4.070
    131.06   999.99   -3.986
    134.11   999.99   -3.902
    137.16   999.99   -3.813
    140.21   999.99   -3.703
    143.26   999.99   -3.614
    146.30   999.99   -3.529
    149.35   999.99   -3.430
    152.40   999.99   -3.352
    155.45   999.99   -3.252
    158.50   999.99   -3.164
    161.54   999.99   -3.076
    164.59   999.99   -2.982
    167.64   999.99   -2.902
    170.69   999.99   -2.803
    173.74   999.99   -2.706
    176.78   999.99   -2.618
    179.83   999.99   -2.513
    182.88   999.99   -2.430
    185.93   999.99   -2.355
    188.98   999.99   -2.273
    192.02   999.99   -2.199
    195.07   999.99   -2.112
    198.12   999.99   -2.021
    201.17   999.99   -1.932
    204.22   999.99   -1.848
    207.26   999.99   -1.752
    210.31   999.99   -1.666
    213.36   999.99   -1.575
    216.41   999.99   -1.478
    219.46   999.99   -1.419
    222.50   999.99   -1.391
    225.55   999.99   -1.347
    228.60   999.99   -1.290
