 << U.S. Geological Survey Borehole Temperature Log - Alaska >>
  
 Site:             LBN 
 Log Date:         84JUL28 
 Type of Log:      continuous  
 Type of Sensor:   thermistor network (custom)
 Measuring Device: digital multimeter
 Deconvolved:      no 
  
  Z   = measured depth (m)
  TVD = true vertical depth (m)
  T   = temperature (C)
  
        Z      TVD       T
      4.88   999.99   -2.141
      5.18   999.99   -2.162
      5.49   999.99   -2.189
      5.79   999.99   -2.217
      6.10   999.99   -2.243
      6.40   999.99   -2.270
      6.71   999.99   -2.296
      7.01   999.99   -2.326
      7.32   999.99   -2.355
      7.62   999.99   -2.381
      7.92   999.99   -2.405
      8.23   999.99   -2.431
      8.53   999.99   -2.454
      8.84   999.99   -2.478
      9.14   999.99   -2.501
      9.45   999.99   -2.521
      9.75   999.99   -2.542
     10.06   999.99   -2.562
     10.36   999.99   -2.581
     10.67   999.99   -2.600
     10.97   999.99   -2.619
     11.28   999.99   -2.637
     11.58   999.99   -2.656
     11.89   999.99   -2.674
     12.19   999.99   -2.692
     12.50   999.99   -2.994
     12.80   999.99   -3.212
     13.11   999.99   -3.387
     13.41   999.99   -3.518
     13.72   999.99   -3.606
     14.02   999.99   -3.849
     14.33   999.99   -3.863
     14.63   999.99   -3.878
     14.94   999.99   -3.896
     15.24   999.99   -3.914
     15.54   999.99   -3.935
     15.85   999.99   -3.955
     16.15   999.99   -3.976
     16.46   999.99   -3.998
     16.76   999.99   -4.021
     17.07   999.99   -4.043
     17.37   999.99   -4.068
     17.68   999.99   -4.094
     17.98   999.99   -4.118
     18.29   999.99   -4.111
     18.59   999.99   -4.129
     18.90   999.99   -4.152
     19.20   999.99   -4.175
     19.51   999.99   -4.197
     19.81   999.99   -4.220
     20.12   999.99   -4.235
     20.42   999.99   -4.231
     20.73   999.99   -4.231
     21.03   999.99   -4.244
     21.34   999.99   -4.266
     21.64   999.99   -4.288
     21.95   999.99   -4.306
     22.25   999.99   -4.328
     22.56   999.99   -4.349
     22.86   999.99   -4.370
