 << U.S. Geological Survey Borehole Temperature Log - Alaska >>
  
 Site:             LBN 
 Log Date:         83SEP01 
 Type of Log:      incremental 
 Type of Sensor:   thermistor network (custom)
 Measuring Device: digital multimeter
 Deconvolved:      N/A
  
  Z   = measured depth (m)
  TVD = true vertical depth (m)
  T   = temperature (C)
  
        Z      TVD       T
     21.34   999.99   -4.177
     24.38   999.99   -4.328
     27.43   999.99   -4.449
     30.48   999.99   -4.534
     33.53   999.99   -4.572
     36.58   999.99   -4.581
     39.62   999.99   -4.581
     42.67   999.99   -4.567
     45.72   999.99   -4.534
     48.77   999.99   -4.514
     51.82   999.99   -4.477
     54.86   999.99   -4.439
     57.91   999.99   -4.352
     60.96   999.99   -4.296
     64.01   999.99   -4.219
     67.06   999.99   -4.157
     70.10   999.99   -4.109
     73.15   999.99   -4.055
     76.20   999.99   -4.006
     79.25   999.99   -3.950
     82.30   999.99   -3.898
     85.34   999.99   -3.844
     88.39   999.99   -3.804
     91.44   999.99   -3.714
     94.49   999.99   -3.652
     97.54   999.99   -3.602
    100.58   999.99   -3.516
    103.63   999.99   -3.468
    106.68   999.99   -3.414
    109.73   999.99   -3.290
    112.78   999.99   -3.251
    115.82   999.99   -3.215
    118.87   999.99   -3.165
    121.92   999.99   -3.129
    124.97   999.99   -3.048
    128.02   999.99   -3.020
    131.06   999.99   -2.961
    134.11   999.99   -2.921
    137.16   999.99   -2.874
    140.21   999.99   -2.821
    143.26   999.99   -2.768
    146.30   999.99   -2.704
    149.35   999.99   -2.650
    152.40   999.99   -2.583
    155.45   999.99   -2.553
    158.50   999.99   -2.478
    161.54   999.99   -2.428
    164.59   999.99   -2.383
    167.64   999.99   -2.339
    170.69   999.99   -2.304
    173.74   999.99   -2.183
    176.78   999.99   -2.141
    179.83   999.99   -2.111
    182.88   999.99   -2.049
    185.93   999.99   -1.947
    188.98   999.99   -1.840
    192.02   999.99   -1.758
    195.07   999.99   -1.610
    198.12   999.99   -1.500
    201.17   999.99   -1.413
    204.22   999.99   -1.329
    207.26   999.99   -1.234
    210.31   999.99   -1.064
    213.36   999.99    -.996
    216.41   999.99    -.932
    219.46   999.99    -.901
    222.50   999.99    -.881
    225.55   999.99    -.821
    228.60   999.99    -.797
    231.65   999.99    -.773
    234.70   999.99    -.774
    237.74   999.99    -.657
    240.79   999.99    -.546
    243.84   999.99    -.411
    246.89   999.99    -.315
    249.94   999.99    -.232
    252.98   999.99    -.151
    256.03   999.99    -.094
    259.08   999.99    -.025
    262.13   999.99     .051
    265.18   999.99     .125
    268.22   999.99     .201
    271.27   999.99     .261
    274.32   999.99     .338
    277.37   999.99     .416
    280.42   999.99     .492
    283.46   999.99     .572
    286.51   999.99     .647
    289.56   999.99     .723
    292.61   999.99     .803
    295.66   999.99     .872
    298.70   999.99     .943
    301.75   999.99    1.021
    304.80   999.99    1.084
    307.85   999.99    1.158
    310.90   999.99    1.229
    313.94   999.99    1.302
    316.99   999.99    1.380
    320.04   999.99    1.451
    323.09   999.99    1.524
    326.14   999.99    1.598
    329.18   999.99    1.673
    332.23   999.99    1.745
    335.28   999.99    1.806
    338.33   999.99    1.873
    341.38   999.99    1.943
    344.42   999.99    2.006
    347.47   999.99    2.070
    350.52   999.99    2.140
    353.57   999.99    2.191
    356.62   999.99    2.251
    359.66   999.99    2.320
    362.71   999.99    2.383
    365.76   999.99    2.443
    368.81   999.99    2.504
    371.86   999.99    2.572
    374.90   999.99    2.633
    377.95   999.99    2.695
    381.00   999.99    2.763
    384.05   999.99    2.822
    387.10   999.99    2.883
    390.14   999.99    2.951
    393.19   999.99    3.013
    396.24   999.99    3.077
    399.29   999.99    3.141
    402.34   999.99    3.203
    405.38   999.99    3.269
    408.43   999.99    3.332
    411.48   999.99    3.388
    414.53   999.99    3.453
    417.58   999.99    3.520
    420.62   999.99    3.577
    423.67   999.99    3.638
    426.72   999.99    3.701
    429.77   999.99    3.758
    432.82   999.99    3.820
    435.86   999.99    3.892
    438.91   999.99    3.942
    441.96   999.99    4.016
    445.01   999.99    4.067
    448.06   999.99    4.128
    451.10   999.99    4.190
    454.15   999.99    4.248
    457.20   999.99    4.321
    460.25   999.99    4.371
    463.30   999.99    4.434
    466.34   999.99    4.487
    469.39   999.99    4.545
    472.44   999.99    4.610
    475.49   999.99    4.681
    478.54   999.99    4.733
    481.58   999.99    4.793
    484.63   999.99    4.855
    487.68   999.99    4.933
    493.78   999.99    5.050
    496.83   999.99    5.115
    499.87   999.99    5.181
    502.92   999.99    5.235
    505.97   999.99    5.307
    509.02   999.99    5.382
    512.07   999.99    5.437
