 << U.S. Geological Survey Borehole Temperature Log - Alaska >>
  
 Site:             LUP 
 Log Date:         81AUG28 
 Type of Log:      incremental 
 Type of Sensor:   thermistor network (custom)
 Measuring Device: digital multimeter
 Deconvolved:      N/A
  
  Z   = measured depth (m)
  TVD = true vertical depth (m)
  T   = temperature (C)
  
        Z      TVD       T
     12.19   999.99   -2.327
     15.24   999.99   -2.501
     18.29   999.99   -2.639
     21.34   999.99   -2.774
     24.38   999.99   -2.916
     27.43   999.99   -3.031
     30.48   999.99   -3.124
     33.53   999.99   -3.172
     36.58   999.99   -3.200
     39.62   999.99   -3.203
     42.67   999.99   -3.199
     45.72   999.99   -3.190
     48.77   999.99   -3.169
     51.82   999.99   -3.141
     54.86   999.99   -3.112
     57.91   999.99   -3.080
     60.96   999.99   -3.037
     64.01   999.99   -2.997
     67.06   999.99   -2.956
     70.10   999.99   -2.918
     73.15   999.99   -2.870
     76.20   999.99   -2.825
     79.25   999.99   -2.784
     82.30   999.99   -2.743
     85.34   999.99   -2.687
     88.39   999.99   -2.646
     91.44   999.99   -2.598
     94.49   999.99   -2.549
     97.54   999.99   -2.491
    100.58   999.99   -2.436
    103.63   999.99   -2.397
    106.68   999.99   -2.346
    109.73   999.99   -2.288
    112.78   999.99   -2.250
    115.82   999.99   -2.211
    118.87   999.99   -2.150
    121.92   999.99   -2.104
    124.97   999.99   -2.043
    128.02   999.99   -1.969
    131.06   999.99   -1.905
    134.11   999.99   -1.848
    137.16   999.99   -1.796
    140.21   999.99   -1.718
    143.26   999.99   -1.655
    146.30   999.99   -1.581
    149.35   999.99   -1.522
    152.40   999.99   -1.450
    155.45   999.99   -1.363
    158.50   999.99   -1.287
    161.54   999.99   -1.215
    164.59   999.99   -1.083
    167.64   999.99   -1.078
    170.69   999.99   -1.040
    173.74   999.99   -1.000
    176.78   999.99    -.914
    179.83   999.99    -.773
    182.88   999.99    -.727
    185.93   999.99    -.656
    188.98   999.99    -.584
    192.02   999.99    -.520
    195.07   999.99    -.472
    198.12   999.99    -.431
    201.17   999.99    -.357
    204.22   999.99    -.270
    207.26   999.99    -.216
    210.31   999.99    -.177
    213.36   999.99    -.131
    216.41   999.99    -.073
    219.46   999.99    -.017
    222.50   999.99     .039
    225.55   999.99     .123
    228.60   999.99     .176
    231.65   999.99     .241
    234.70   999.99     .315
    237.74   999.99     .380
    240.79   999.99     .448
    243.84   999.99     .520
    246.89   999.99     .599
    249.94   999.99     .699
    252.98   999.99     .786
    256.03   999.99     .860
    259.08   999.99     .946
    262.13   999.99    1.022
    265.18   999.99    1.103
    268.22   999.99    1.158
    271.27   999.99    1.213
    274.32   999.99    1.282
    277.37   999.99    1.350
    280.42   999.99    1.412
    283.46   999.99    1.476
    286.51   999.99    1.533
    289.56   999.99    1.592
    292.61   999.99    1.636
    295.66   999.99    1.699
    298.70   999.99    1.759
    301.75   999.99    1.823
    304.80   999.99    1.898
    307.85   999.99    1.958
    310.90   999.99    2.003
    313.94   999.99    2.063
    316.99   999.99    2.122
    320.04   999.99    2.181
    323.09   999.99    2.240
    326.14   999.99    2.298
    329.18   999.99    2.363
    332.23   999.99    2.425
    335.28   999.99    2.479
    338.33   999.99    2.535
    341.38   999.99    2.603
    344.42   999.99    2.671
    347.47   999.99    2.729
    350.52   999.99    2.786
    353.57   999.99    2.844
    356.62   999.99    2.891
    359.66   999.99    2.914
    362.71   999.99    3.031
    365.76   999.99    3.094
    368.81   999.99    3.154
    371.86   999.99    3.214
    374.90   999.99    3.271
    377.95   999.99    3.335
    381.00   999.99    3.427
    384.05   999.99    3.497
    387.10   999.99    3.558
    390.14   999.99    3.594
    393.19   999.99    3.639
    396.24   999.99    3.669
    399.29   999.99    3.723
    402.34   999.99    3.867
    405.38   999.99    4.010
    408.43   999.99    4.053
    411.48   999.99    4.144
    414.53   999.99    4.143
    417.58   999.99    4.251
    420.62   999.99    4.342
    423.67   999.99    4.310
    426.72   999.99    4.418
    429.77   999.99    4.471
    432.82   999.99    4.585
    435.86   999.99    4.653
    438.91   999.99    4.743
    441.96   999.99    4.790
    445.01   999.99    4.854
    448.06   999.99    4.941
    451.10   999.99    4.992
    454.15   999.99    5.082
    457.20   999.99    5.133
    460.25   999.99    5.212
