 << U.S. Geological Survey Borehole Temperature Log - Alaska >>
  
 Site:             LUP 
 Log Date:         79SEP17 
 Type of Log:      incremental 
 Type of Sensor:   thermistor network (custom)
 Measuring Device: digital multimeter
 Deconvolved:      N/A
  
  Z   = measured depth (m)
  TVD = true vertical depth (m)
  T   = temperature (C)
  
        Z      TVD       T
      6.10   999.99   -2.265
      9.14   999.99   -2.778
     12.19   999.99   -2.918
     15.24   999.99   -2.948
     18.29   999.99   -2.958
     21.34   999.99   -3.001
     24.38   999.99   -3.067
     27.43   999.99   -3.139
     30.48   999.99   -3.167
     33.53   999.99   -3.173
     36.58   999.99   -3.166
     39.62   999.99   -3.142
     42.67   999.99   -3.115
     45.72   999.99   -3.086
     48.77   999.99   -3.046
     51.82   999.99   -2.996
     54.86   999.99   -2.950
     57.91   999.99   -2.901
     60.96   999.99   -2.849
     64.01   999.99   -2.801
     67.06   999.99   -2.753
     70.10   999.99   -2.712
     73.15   999.99   -2.666
     76.20   999.99   -2.622
     79.25   999.99   -2.582
     82.30   999.99   -2.535
     85.34   999.99   -2.488
     88.39   999.99   -2.442
     91.44   999.99   -2.386
     94.49   999.99   -2.341
     97.54   999.99   -2.294
    100.58   999.99   -2.240
    103.63   999.99   -2.191
    106.68   999.99   -2.137
    109.73   999.99   -2.090
    112.78   999.99   -2.043
    115.82   999.99   -1.998
    118.87   999.99   -1.944
    121.92   999.99   -1.896
    124.97   999.99   -1.842
    128.02   999.99   -1.775
    131.06   999.99   -1.689
    134.11   999.99   -1.636
    137.16   999.99   -1.567
    140.21   999.99   -1.486
    143.26   999.99   -1.406
    146.30   999.99   -1.348
    149.35   999.99   -1.285
    152.40   999.99   -1.195
    155.45   999.99   -1.120
    158.50   999.99   -1.043
    161.54   999.99    -.968
    164.59   999.99    -.874
    167.64   999.99    -.807
    170.69   999.99    -.749
    173.74   999.99    -.676
    176.78   999.99    -.583
    179.83   999.99    -.505
    182.88   999.99    -.443
    185.93   999.99    -.398
    188.98   999.99    -.343
    192.02   999.99    -.275
    195.07   999.99    -.226
    198.12   999.99    -.191
    201.17   999.99    -.159
    204.22   999.99    -.120
    207.26   999.99    -.072
    210.31   999.99    -.015
    213.36   999.99     .048
    216.41   999.99     .116
    219.46   999.99     .173
    222.50   999.99     .234
    225.55   999.99     .298
    228.60   999.99     .362
    231.65   999.99     .431
    234.70   999.99     .500
    237.74   999.99     .554
    240.79   999.99     .636
    243.84   999.99     .720
    246.89   999.99     .800
    249.94   999.99     .895
    252.98   999.99     .985
    256.03   999.99    1.060
    259.08   999.99    1.144
    262.13   999.99    1.214
    265.18   999.99    1.286
    268.22   999.99    1.352
    271.27   999.99    1.416
    274.32   999.99    1.469
    277.37   999.99    1.533
    280.42   999.99    1.594
    283.46   999.99    1.650
    286.51   999.99    1.710
    289.56   999.99    1.766
    292.61   999.99    1.821
    295.66   999.99    1.875
    298.70   999.99    1.934
    301.75   999.99    1.998
    304.80   999.99    2.061
    307.85   999.99    2.121
    310.90   999.99    2.169
    313.94   999.99    2.232
    316.99   999.99    2.314
    320.04   999.99    2.364
    323.09   999.99    2.426
    326.14   999.99    2.487
    329.18   999.99    2.542
    332.23   999.99    2.599
    335.28   999.99    2.668
    338.33   999.99    2.687
    341.38   999.99    2.779
    344.42   999.99    2.848
    347.47   999.99    2.905
    350.52   999.99    2.960
    353.57   999.99    3.019
    356.62   999.99    3.068
    359.66   999.99    3.130
    362.71   999.99    3.216
    365.76   999.99    3.276
    368.81   999.99    3.336
    371.86   999.99    3.423
    374.90   999.99    3.470
    377.95   999.99    3.525
    381.00   999.99    3.579
    384.05   999.99    3.636
    387.10   999.99    3.676
    390.14   999.99    3.735
    393.19   999.99    3.796
    396.24   999.99    3.829
    399.29   999.99    3.903
    402.34   999.99    4.018
    405.38   999.99    4.073
    408.43   999.99    4.156
    411.48   999.99    4.184
    414.53   999.99    4.218
    417.58   999.99    4.274
    420.62   999.99    4.387
    423.67   999.99    4.426
    426.72   999.99    4.470
    429.77   999.99    4.546
    432.82   999.99    4.630
    435.86   999.99    4.747
    438.91   999.99    4.775
    441.96   999.99    4.824
    445.01   999.99    4.868
    448.06   999.99    4.936
    451.10   999.99    5.005
    454.15   999.99    5.088
    457.20   999.99    5.152
    460.25   999.99    5.225
    463.30   999.99    5.379
    466.34   999.99    5.407
    469.39   999.99    5.436
    470.92   999.99    5.527
