 << U.S. Geological Survey Borehole Temperature Log - Alaska >>
  
 Site:             M02 
 Log Date:         79SEP06 
 Type of Log:      incremental 
 Type of Sensor:   thermistor network (custom)
 Measuring Device: digital multimeter
 Deconvolved:      N/A
  
  Z   = measured depth (m)
  TVD = true vertical depth (m)
  T   = temperature (C)
  
        Z      TVD       T
     15.24   999.99    -.514
     18.29   999.99    -.520
     21.34   999.99    -.543
     24.38   999.99    -.559
     27.43   999.99    -.559
     30.48   999.99    -.557
     33.53   999.99    -.548
     36.58   999.99    -.520
     39.62   999.99    -.505
     42.67   999.99    -.492
     45.72   999.99    -.461
     48.77   999.99    -.441
     51.82   999.99    -.424
     54.86   999.99    -.379
     57.91   999.99    -.349
     60.96   999.99    -.318
     64.01   999.99    -.274
     67.06   999.99    -.168
     70.10   999.99    -.154
     73.15   999.99    -.139
     76.20   999.99    -.127
     79.25   999.99    -.114
     82.30   999.99    -.096
     85.34   999.99    -.089
     88.39   999.99    -.092
     91.44   999.99    -.103
     94.49   999.99    -.104
     97.54   999.99    -.088
    100.58   999.99     .007
    103.63   999.99     .091
    106.68   999.99     .161
    109.73   999.99     .228
    112.78   999.99     .282
    115.82   999.99     .359
    118.87   999.99     .453
    121.92   999.99     .482
    124.97   999.99     .516
    128.02   999.99     .562
    131.06   999.99     .614
    134.11   999.99     .670
    137.16   999.99     .723
    140.21   999.99     .777
    141.43   999.99     .800
