 << U.S. Geological Survey Borehole Temperature Log - Alaska >>
  
 Site:             NKP 
 Log Date:         81AUG20 
 Type of Log:      incremental 
 Type of Sensor:   thermistor network (custom)
 Measuring Device: digital multimeter
 Deconvolved:      N/A
  
  Z   = measured depth (m)
  TVD = true vertical depth (m)
  T   = temperature (C)
  
        Z      TVD       T
     12.19   999.99   -8.997
     15.24   999.99   -8.957
     18.29   999.99   -8.876
     21.34   999.99   -8.811
     24.38   999.99   -8.737
     27.43   999.99   -8.668
     30.48   999.99   -8.509
     33.53   999.99   -8.495
     36.58   999.99   -8.422
     39.62   999.99   -8.318
     42.67   999.99   -8.231
     45.72   999.99   -8.131
     48.77   999.99   -7.996
     51.82   999.99   -7.899
     54.86   999.99   -7.757
     57.91   999.99   -7.624
     60.96   999.99   -7.480
     64.01   999.99   -7.325
     67.06   999.99   -7.181
     70.10   999.99   -7.036
     73.15   999.99   -6.837
     76.20   999.99   -6.699
     79.25   999.99   -6.519
     82.30   999.99   -6.353
     85.34   999.99   -6.193
     88.39   999.99   -6.025
     91.44   999.99   -5.839
     94.49   999.99   -5.672
     97.54   999.99   -5.495
    100.58   999.99   -5.322
    103.63   999.99   -5.141
    106.68   999.99   -4.958
    109.73   999.99   -4.785
    112.78   999.99   -4.642
    115.82   999.99   -4.472
    118.87   999.99   -4.308
    121.92   999.99   -4.143
    124.97   999.99   -3.985
    128.02   999.99   -3.836
    131.06   999.99   -3.674
    134.11   999.99   -3.554
    137.16   999.99   -3.416
    140.21   999.99   -3.260
    143.26   999.99   -3.126
    146.30   999.99   -2.981
    149.35   999.99   -2.815
    152.40   999.99   -2.650
    155.45   999.99   -2.503
    158.50   999.99   -2.363
    161.54   999.99   -2.219
    164.59   999.99   -2.041
    167.64   999.99   -1.887
    170.69   999.99   -1.700
    173.74   999.99   -1.580
    176.78   999.99   -1.439
    179.83   999.99   -1.277
    182.88   999.99   -1.106
    185.93   999.99    -.956
    188.98   999.99    -.808
    192.02   999.99    -.670
    195.07   999.99    -.558
    198.12   999.99    -.474
    201.17   999.99    -.386
    204.22   999.99    -.294
    207.26   999.99    -.159
    210.31   999.99    -.023
    213.36   999.99     .135
    216.41   999.99     .329
    219.46   999.99     .489
    222.50   999.99     .615
    225.55   999.99     .749
    228.60   999.99     .900
    231.65   999.99    1.059
    234.70   999.99    1.306
    237.74   999.99    1.479
    240.79   999.99    1.663
    243.84   999.99    1.828
    246.89   999.99    1.948
    249.94   999.99    2.126
    252.98   999.99    2.245
    256.03   999.99    2.385
    259.08   999.99    2.553
    262.13   999.99    2.693
    265.18   999.99    2.825
    268.22   999.99    2.959
    271.27   999.99    3.118
    274.32   999.99    3.259
    277.37   999.99    3.369
    280.42   999.99    3.508
    283.46   999.99    3.670
    286.51   999.99    3.798
    289.56   999.99    3.962
    292.61   999.99    4.093
    295.66   999.99    4.237
    298.70   999.99    4.376
    301.75   999.99    4.526
    304.80   999.99    4.668
    307.85   999.99    4.797
    310.90   999.99    4.950
    313.94   999.99    5.088
    316.99   999.99    5.224
    320.04   999.99    5.389
    323.09   999.99    5.548
    326.14   999.99    5.688
    329.18   999.99    5.855
    332.23   999.99    5.988
    335.28   999.99    6.147
    338.33   999.99    6.317
    341.38   999.99    6.454
    344.42   999.99    6.610
    347.47   999.99    6.751
    350.52   999.99    6.885
    353.57   999.99    7.035
    356.62   999.99    7.162
    359.66   999.99    7.290
    362.71   999.99    7.439
    365.76   999.99    7.561
    368.81   999.99    7.728
    371.86   999.99    7.849
