 << U.S. Geological Survey Borehole Temperature Log - Alaska >>
  
 Site:             NKP 
 Log Date:         84AUG01a
 Type of Log:      continuous  
 Type of Sensor:   thermistor network (custom)
 Measuring Device: digital multimeter
 Deconvolved:      no 
  
  Z   = measured depth (m)
  TVD = true vertical depth (m)
  T   = temperature (C)
  
        Z      TVD       T
      3.35   999.99    2.980
      3.66   999.99    2.749
      3.96   999.99    2.360
      4.27   999.99    1.975
      4.57   999.99    1.731
      4.88   999.99    1.518
      5.18   999.99    1.283
      5.49   999.99    1.014
      5.79   999.99     .617
      6.10   999.99     .290
      6.40   999.99    -.042
      6.71   999.99    -.441
      7.01   999.99    -.772
      7.32   999.99   -1.023
      7.62   999.99   -1.361
      7.92   999.99   -1.597
      8.23   999.99   -1.839
      8.53   999.99   -2.189
      8.84   999.99   -2.372
      9.14   999.99   -2.583
      9.45   999.99   -2.897
      9.75   999.99   -3.193
     10.06   999.99   -5.180
     10.36   999.99   -6.478
     10.67   999.99   -7.258
     10.97   999.99   -7.983
     11.28   999.99   -8.557
     11.58   999.99   -8.942
     11.89   999.99   -9.201
     12.19   999.99   -9.354
     12.50   999.99   -9.470
     12.80   999.99   -9.570
     13.11   999.99   -9.608
     13.41   999.99   -9.634
     13.72   999.99   -9.648
     14.02   999.99   -9.651
     14.33   999.99   -9.650
     14.63   999.99   -9.643
     14.94   999.99   -9.632
     15.24   999.99   -9.623
     15.54   999.99   -9.609
     15.85   999.99   -9.596
     16.15   999.99   -9.573
     16.46   999.99   -9.558
     16.76   999.99   -9.528
     17.07   999.99   -9.504
     17.37   999.99   -9.492
     17.68   999.99   -9.482
     17.98   999.99   -9.460
     18.29   999.99   -9.440
     18.59   999.99   -9.424
     18.90   999.99   -9.414
     19.20   999.99   -9.397
     19.51   999.99   -9.384
     19.81   999.99   -9.376
     20.12   999.99   -9.356
     20.42   999.99   -9.324
     20.73   999.99   -9.305
     21.03   999.99   -9.289
     21.34   999.99   -9.278
     21.64   999.99   -9.266
     21.95   999.99   -9.250
     22.25   999.99   -9.239
     22.56   999.99   -9.215
     22.86   999.99   -9.198
     23.16   999.99   -9.188
     23.47   999.99   -9.178
     23.77   999.99   -9.161
     24.08   999.99   -9.148
     24.38   999.99   -9.138
     24.69   999.99   -9.123
     24.99   999.99   -9.108
     25.30   999.99   -9.092
     25.60   999.99   -9.077
     25.91   999.99   -9.063
     26.21   999.99   -9.051
     26.52   999.99   -9.038
     26.82   999.99   -9.026
     27.13   999.99   -9.007
     27.43   999.99   -8.996
     27.74   999.99   -8.982
     28.04   999.99   -8.966
     28.35   999.99   -8.957
     28.65   999.99   -8.948
     28.96   999.99   -8.938
     29.26   999.99   -8.930
     29.57   999.99   -8.908
     29.87   999.99   -8.894
     30.18   999.99   -8.882
     30.48   999.99   -8.860
     30.78   999.99   -8.847
     31.09   999.99   -8.834
     31.39   999.99   -8.820
     31.70   999.99   -8.813
     32.00   999.99   -8.804
     32.31   999.99   -8.788
     32.61   999.99   -8.782
     32.92   999.99   -8.770
     33.22   999.99   -8.748
     33.53   999.99   -8.738
     33.83   999.99   -8.728
     34.14   999.99   -8.719
     34.44   999.99   -8.707
     34.75   999.99   -8.694
     35.05   999.99   -8.685
     35.36   999.99   -8.675
     35.66   999.99   -8.662
     35.97   999.99   -8.655
     36.27   999.99   -8.645
     36.58   999.99   -8.632
     36.88   999.99   -8.625
     37.19   999.99   -8.616
     37.49   999.99   -8.607
     37.80   999.99   -8.597
     38.10   999.99   -8.589
     38.40   999.99   -8.575
     38.71   999.99   -8.564
     39.01   999.99   -8.554
     39.32   999.99   -8.544
     39.62   999.99   -8.530
     39.93   999.99   -8.517
     40.23   999.99   -8.511
     40.54   999.99   -8.501
     40.84   999.99   -8.491
     41.15   999.99   -8.485
     41.45   999.99   -8.478
     41.76   999.99   -8.464
     42.06   999.99   -8.458
     42.37   999.99   -8.446
     42.67   999.99   -8.437
     42.98   999.99   -8.423
     43.28   999.99   -8.404
     43.59   999.99   -8.393
     43.89   999.99   -8.382
     44.20   999.99   -8.371
     44.50   999.99   -8.362
     44.81   999.99   -8.349
     45.11   999.99   -8.338
     45.42   999.99   -8.331
     45.72   999.99   -8.320
     46.02   999.99   -8.305
     46.33   999.99   -8.295
     46.63   999.99   -8.283
     46.94   999.99   -8.276
     47.24   999.99   -8.260
     47.55   999.99   -8.245
     47.85   999.99   -8.236
     48.16   999.99   -8.221
     48.46   999.99   -8.210
     48.77   999.99   -8.204
     49.07   999.99   -8.195
     49.38   999.99   -8.172
     49.68   999.99   -8.162
     49.99   999.99   -8.151
     50.29   999.99   -8.145
     50.60   999.99   -8.138
     50.90   999.99   -8.122
     51.21   999.99   -8.113
     51.51   999.99   -8.105
     51.82   999.99   -8.085
     52.12   999.99   -8.072
     52.43   999.99   -8.056
     52.73   999.99   -8.038
     53.04   999.99   -8.023
     53.34   999.99   -8.005
     53.64   999.99   -7.988
     53.95   999.99   -7.979
     54.25   999.99   -7.971
     54.56   999.99   -7.966
