 << U.S. Geological Survey Borehole Temperature Log - Alaska >>
  
 Site:             NKP 
 Log Date:         84AUG01b
 Type of Log:      incremental  
 Type of Sensor:   thermistor network (custom)
 Measuring Device: digital multimeter
 Deconvolved:      N/A
  
  Z   = measured depth (m)
  TVD = true vertical depth (m)
  T   = temperature (C)
  
        Z      TVD       T
    146.30   999.99   -3.128
    147.83   999.99   -3.047
    149.35   999.99   -2.968
    150.88   999.99   -2.887
    152.40   999.99   -2.793
    153.92   999.99   -2.714
    155.45   999.99   -2.650
    156.97   999.99   -2.585
    158.50   999.99   -2.484
    160.02   999.99   -2.397
    161.54   999.99   -2.324
    163.07   999.99   -2.257
    164.59   999.99   -2.166
    166.12   999.99   -2.105
    167.64   999.99   -2.017
    169.16   999.99   -1.957
    170.69   999.99   -1.870
    172.21   999.99   -1.777
    173.74   999.99   -1.702
    175.26   999.99   -1.620
    176.78   999.99   -1.544
    178.31   999.99   -1.463
    179.83   999.99   -1.391
    181.36   999.99   -1.294
    182.88   999.99   -1.214
    184.40   999.99   -1.154
    185.93   999.99   -1.060
    187.45   999.99   -1.000
    188.98   999.99    -.929
    190.50   999.99    -.859
    192.02   999.99    -.783
    193.55   999.99    -.710
    195.07   999.99    -.635
    196.60   999.99    -.568
    198.12   999.99    -.508
    199.64   999.99    -.441
    201.17   999.99    -.362
    202.69   999.99    -.293
    204.22   999.99    -.230
    205.74   999.99    -.153
    207.26   999.99    -.094
    208.79   999.99    -.020
    210.31   999.99     .043
    211.84   999.99     .129
    213.36   999.99     .200
    214.88   999.99     .278
    216.41   999.99     .356
    217.93   999.99     .427
    219.46   999.99     .508
    220.98   999.99     .576
    222.50   999.99     .646
    224.03   999.99     .719
    225.55   999.99     .791
    227.08   999.99     .859
    228.60   999.99     .927
    230.12   999.99    1.000
    231.65   999.99    1.072
    233.17   999.99    1.158
    234.70   999.99    1.230
    236.22   999.99    1.299
    237.74   999.99    1.364
    239.27   999.99    1.443
    240.79   999.99    1.524
    242.32   999.99    1.588
    243.84   999.99    1.655
    245.36   999.99    1.733
    246.89   999.99    1.794
    248.41   999.99    1.876
    249.94   999.99    1.940
    251.46   999.99    2.010
    252.98   999.99    2.093
    254.51   999.99    2.170
    256.03   999.99    2.247
    257.56   999.99    2.320
    259.08   999.99    2.385
    260.60   999.99    2.470
    262.13   999.99    2.538
    263.65   999.99    2.608
    265.18   999.99    2.692
    266.70   999.99    2.766
    268.22   999.99    2.832
    269.75   999.99    2.915
    271.27   999.99    2.985
    272.80   999.99    3.055
    274.32   999.99    3.129
    275.84   999.99    3.187
    277.37   999.99    3.265
    278.89   999.99    3.343
    280.42   999.99    3.411
    281.94   999.99    3.476
    283.46   999.99    3.549
    284.99   999.99    3.622
    286.51   999.99    3.686
    288.04   999.99    3.763
    289.56   999.99    3.832
    291.08   999.99    3.913
    292.61   999.99    3.978
    294.13   999.99    4.043
    295.66   999.99    4.110
    297.18   999.99    4.183
    298.70   999.99    4.256
    300.23   999.99    4.333
    301.75   999.99    4.397
    303.28   999.99    4.464
    304.80   999.99    4.535
    306.32   999.99    4.596
    307.85   999.99    4.670
    309.37   999.99    4.744
    310.90   999.99    4.831
    312.42   999.99    4.889
    313.94   999.99    4.968
    315.47   999.99    5.047
    316.99   999.99    5.118
    318.52   999.99    5.196
    320.04   999.99    5.269
    321.56   999.99    5.339
    323.09   999.99    5.426
    324.61   999.99    5.492
    326.14   999.99    5.570
    327.66   999.99    5.642
    329.18   999.99    5.719
    330.71   999.99    5.787
    332.23   999.99    5.868
    333.76   999.99    5.957
    335.28   999.99    6.030
    336.80   999.99    6.097
    338.33   999.99    6.180
    339.85   999.99    6.268
    341.38   999.99    6.346
    342.90   999.99    6.426
    344.42   999.99    6.496
    345.95   999.99    6.575
    347.47   999.99    6.639
    349.00   999.99    6.713
    350.52   999.99    6.784
    352.04   999.99    6.850
    353.57   999.99    6.925
    355.09   999.99    6.997
    356.62   999.99    7.067
    358.14   999.99    7.125
    359.66   999.99    7.190
    361.19   999.99    7.261
    362.71   999.99    7.329
    364.24   999.99    7.397
    365.76   999.99    7.464
    367.28   999.99    7.528
    368.81   999.99    7.594
    370.33   999.99    7.668
    371.86   999.99    7.744
    373.38   999.99    7.810
    374.90   999.99    7.889
    376.43   999.99    7.965
    377.95   999.99    8.029
    379.48   999.99    8.108
    381.00   999.99    8.180
    382.52   999.99    8.245
    384.05   999.99    8.316
    385.57   999.99    8.379
    387.10   999.99    8.448
    388.62   999.99    8.516
    390.14   999.99    8.582
    391.67   999.99    8.647
    393.19   999.99    8.717
    394.72   999.99    8.786
    396.24   999.99    8.850
    397.76   999.99    8.919
    399.29   999.99    8.974
    400.81   999.99    9.042
    402.34   999.99    9.109
    403.86   999.99    9.174
    405.38   999.99    9.247
    406.91   999.99    9.323
    408.43   999.99    9.399
    409.96   999.99    9.457
    411.48   999.99    9.520
    413.00   999.99    9.595
    414.53   999.99    9.657
    416.05   999.99    9.727
    417.58   999.99    9.797
    419.10   999.99    9.851
    420.62   999.99    9.924
    422.15   999.99    9.999
    423.67   999.99   10.059
    425.20   999.99   10.133
    426.72   999.99   10.192
    428.24   999.99   10.273
    429.77   999.99   10.343
    431.29   999.99   10.403
    432.82   999.99   10.468
    434.34   999.99   10.540
    435.86   999.99   10.605
    437.39   999.99   10.671
    438.91   999.99   10.742
    440.44   999.99   10.807
    441.96   999.99   10.881
    443.48   999.99   10.942
    445.01   999.99   11.023
    446.53   999.99   11.079
    448.06   999.99   11.158
    449.58   999.99   11.228
    451.10   999.99   11.307
    452.63   999.99   11.377
    454.15   999.99   11.500
    455.68   999.99   11.524
    457.20   999.99   11.587
    458.72   999.99   11.671
    460.25   999.99   11.733
    463.30   999.99   11.856
    466.34   999.99   12.014
    469.39   999.99   12.169
    472.44   999.99   12.303
    475.49   999.99   12.463
    478.54   999.99   12.592
    481.58   999.99   12.736
    484.63   999.99   12.892
    487.68   999.99   13.054
    490.73   999.99   13.206
    493.78   999.99   13.352
    496.83   999.99   13.481
    499.87   999.99   13.649
    502.92   999.99   13.804
    505.97   999.99   13.963
    509.02   999.99   14.118
    512.07   999.99   14.288
    515.11   999.99   14.433
    518.16   999.99   14.570
    521.21   999.99   14.723
    524.26   999.99   14.856
    527.31   999.99   14.991
    530.35   999.99   15.135
    533.40   999.99   15.253
    536.45   999.99   15.385
    539.50   999.99   15.525
    542.55   999.99   15.693
    545.59   999.99   15.805
    548.64   999.99   15.944
    551.69   999.99   16.087
    554.74   999.99   16.219
    557.79   999.99   16.365
    560.83   999.99   16.506
    563.88   999.99   16.643
    566.93   999.99   16.776
    569.98   999.99   16.917
    573.03   999.99   17.073
    576.07   999.99   17.206
    579.12   999.99   17.355
    582.17   999.99   17.491
    585.22   999.99   17.623
    588.27   999.99   17.776
    591.31   999.99   17.927
    594.36   999.99   18.058
    597.41   999.99   18.195
    600.46   999.99   18.341
    603.51   999.99   18.506
    606.55   999.99   18.628
    609.60   999.99   18.754
    612.65   999.99   18.900
    615.70   999.99   19.049
    618.75   999.99   19.184
    621.79   999.99   19.333
    624.84   999.99   19.472
    627.89   999.99   19.625
    630.94   999.99   19.755
    633.99   999.99   19.895
    637.03   999.99   20.044
    640.08   999.99   20.169
    643.13   999.99   20.274
    646.18   999.99   20.383
    649.23   999.99   20.902
    652.27   999.99   20.980
    655.32   999.99   21.013
    658.37   999.99   21.238
