 << U.S. Geological Survey Borehole Temperature Log - Alaska >>
  
 Site:             NKP 
 Log Date:         78SEP16 
 Type of Log:      incremental 
 Type of Sensor:   thermistor network (custom)
 Measuring Device: digital multimeter
 Deconvolved:      N/A
  
  Z   = measured depth (m)
  TVD = true vertical depth (m)
  T   = temperature (C)
  
        Z      TVD       T
      6.10   999.99   -6.857
      9.14   999.99   -6.888
     12.19   999.99   -7.134
     15.24   999.99   -7.236
     18.29   999.99   -7.169
     21.34   999.99   -7.062
     24.38   999.99   -6.933
     27.43   999.99   -6.755
     30.48   999.99   -6.564
     33.53   999.99   -6.407
     36.58   999.99   -6.257
     39.62   999.99   -6.150
     42.67   999.99   -6.055
     45.72   999.99   -5.917
     48.77   999.99   -5.800
     51.82   999.99   -5.689
     54.86   999.99   -5.578
     57.91   999.99   -5.427
     60.96   999.99   -5.334
     64.01   999.99   -5.231
     67.06   999.99   -5.111
     70.10   999.99   -4.970
     73.15   999.99   -4.813
     76.20   999.99   -4.674
     79.25   999.99   -4.564
     82.30   999.99   -4.454
     85.34   999.99   -4.340
     88.39   999.99   -4.216
     91.44   999.99   -4.132
     94.49   999.99   -4.061
     97.54   999.99   -3.905
    100.58   999.99   -3.726
    103.63   999.99   -3.557
    106.68   999.99   -3.346
    109.73   999.99   -3.235
    112.78   999.99   -3.146
    115.82   999.99   -3.050
    118.87   999.99   -2.937
    121.92   999.99   -2.775
    124.97   999.99   -2.663
    128.02   999.99   -2.554
    131.06   999.99   -2.447
    134.11   999.99   -2.379
    137.16   999.99   -2.295
    140.21   999.99   -2.214
    143.26   999.99   -2.135
    146.30   999.99   -1.992
    149.35   999.99   -1.886
    152.40   999.99   -1.649
    161.54   999.99    -.866
    164.59   999.99    -.763
    167.64   999.99    -.747
    170.69   999.99    -.591
    173.74   999.99    -.341
    176.78   999.99    -.146
    179.83   999.99     .095
    182.88   999.99     .274
    185.93   999.99     .517
    188.98   999.99     .674
    192.02   999.99     .860
    195.07   999.99     .998
    198.12   999.99    1.201
    201.17   999.99    1.332
    204.22   999.99    1.450
    207.26   999.99    1.577
    210.31   999.99    1.766
    213.36   999.99    1.929
    216.41   999.99    2.053
    219.46   999.99    2.199
    222.50   999.99    2.323
    225.55   999.99    2.462
    228.60   999.99    2.579
    231.65   999.99    2.744
    234.70   999.99    2.890
    237.74   999.99    3.027
    240.79   999.99    3.182
    243.84   999.99    3.320
    246.89   999.99    3.450
    249.94   999.99    3.597
    252.98   999.99    3.736
    256.03   999.99    3.873
    259.08   999.99    4.010
    262.13   999.99    4.143
    265.18   999.99    4.370
    268.22   999.99    4.415
    271.27   999.99    4.540
    274.32   999.99    4.699
    277.37   999.99    4.812
    280.42   999.99    4.942
    283.46   999.99    5.095
    286.51   999.99    5.212
    289.56   999.99    5.353
    292.61   999.99    5.477
    295.66   999.99    5.616
    298.70   999.99    5.777
    301.75   999.99    5.903
    304.80   999.99    6.033
    307.85   999.99    6.167
    310.90   999.99    6.299
    313.94   999.99    6.451
    316.99   999.99    6.574
    320.04   999.99    6.713
    323.09   999.99    6.853
    326.14   999.99    7.001
    329.18   999.99    7.144
    332.23   999.99    7.355
    335.28   999.99    7.523
    338.33   999.99    7.675
    341.38   999.99    7.790
    344.42   999.99    7.938
    347.47   999.99    8.052
    350.52   999.99    8.193
    353.57   999.99    8.313
    356.62   999.99    8.454
    359.66   999.99    8.578
    362.71   999.99    8.706
    365.76   999.99    8.864
    368.81   999.99    8.997
    371.86   999.99    9.128
    374.90   999.99    9.275
    377.95   999.99    9.397
    381.00   999.99    9.521
    384.05   999.99    9.641
    387.10   999.99    9.779
    390.14   999.99    9.901
    393.19   999.99   10.010
    396.24   999.99   10.136
    399.29   999.99   10.266
    402.34   999.99   10.389
    405.38   999.99   10.513
    408.43   999.99   10.653
    411.48   999.99   10.786
    414.53   999.99   10.918
    417.58   999.99   11.053
    420.62   999.99   11.222
    423.67   999.99   11.346
    426.72   999.99   11.475
    429.77   999.99   11.605
    432.82   999.99   11.726
    435.86   999.99   11.865
    438.91   999.99   11.997
    441.96   999.99   12.108
    445.01   999.99   12.271
    448.06   999.99   12.390
    451.10   999.99   12.532
    454.15   999.99   12.669
    457.20   999.99   12.789
    460.25   999.99   12.837
    463.30   999.99   12.982
    466.34   999.99   13.123
    469.39   999.99   13.256
    472.44   999.99   13.386
    475.49   999.99   13.536
    478.54   999.99   13.666
    481.58   999.99   13.809
    484.63   999.99   13.926
    487.68   999.99   14.065
    490.73   999.99   14.230
    493.78   999.99   14.370
    496.83   999.99   14.493
    499.87   999.99   14.660
    502.92   999.99   14.852
    505.97   999.99   14.986
    509.02   999.99   15.119
    512.07   999.99   15.268
    515.11   999.99   15.416
    518.16   999.99   15.524
    521.21   999.99   15.669
    524.26   999.99   15.789
    527.31   999.99   15.924
    530.35   999.99   16.088
    533.40   999.99   16.195
    536.45   999.99   16.311
    539.50   999.99   16.451
    542.55   999.99   16.606
    545.59   999.99   16.714
    548.64   999.99   16.852
    551.69   999.99   16.987
    554.74   999.99   17.114
    557.79   999.99   17.263
    560.83   999.99   17.392
    563.88   999.99   17.547
    566.93   999.99   17.669
    569.98   999.99   17.795
    573.03   999.99   17.945
    576.07   999.99   18.089
    579.12   999.99   18.221
    582.17   999.99   18.380
    585.22   999.99   18.486
    588.27   999.99   18.626
    591.31   999.99   18.778
    594.36   999.99   18.922
    597.41   999.99   19.058
    600.46   999.99   19.196
    603.51   999.99   19.314
    606.55   999.99   19.489
    609.60   999.99   19.624
    612.65   999.99   19.758
    615.70   999.99   19.887
    618.75   999.99   20.032
    621.79   999.99   20.167
    624.84   999.99   20.294
    627.89   999.99   20.435
    630.94   999.99   20.586
    633.99   999.99   20.710
    637.03   999.99   20.840
    640.08   999.99   20.957
    643.13   999.99   21.077
    646.18   999.99   21.160
    649.23   999.99   21.472
    652.27   999.99   21.694
    655.32   999.99   21.882
    658.37   999.99   22.115
