 << U.S. Geological Survey Borehole Temperature Log - Alaska >>
  
 Site:             OH1 
 Log Date:         74AUG17 
 Type of Log:      incremental 
 Type of Sensor:   thermistor network (custom)
 Measuring Device: digital multimeter
 Deconvolved:      N/A
  
  Z   = measured depth (m)
  TVD = true vertical depth (m)
  T   = temperature (C)
  
        Z      TVD       T
      6.10   999.99     .632
      9.14   999.99     .566
     12.19   999.99     .558
     15.24   999.99     .585
     18.29   999.99     .515
     21.34   999.99     .531
     24.38   999.99     .535
     27.43   999.99    1.007
     30.48   999.99    1.195
     33.53   999.99    1.211
     36.58   999.99    1.195
     39.62   999.99    1.211
     42.67   999.99    1.187
     45.72   999.99    1.470
     48.77   999.99    1.782
     51.82   999.99    1.990
     54.86   999.99    2.040
     57.91   999.99    2.074
     60.96   999.99    2.140
     67.06   999.99    2.259
     73.15   999.99    2.459
     79.25   999.99    2.636
     85.34   999.99    2.809
     91.44   999.99    2.971
     97.54   999.99    3.139
    103.63   999.99    3.299
    109.73   999.99    3.492
    115.82   999.99    3.637
    121.92   999.99    3.879
    128.02   999.99    4.051
    134.11   999.99    4.198
    140.21   999.99    4.372
    146.30   999.99    4.549
    152.40   999.99    4.744
    158.50   999.99    4.911
    164.59   999.99    5.070
    170.69   999.99    5.189
    176.78   999.99    5.343
    182.88   999.99    5.500
    188.98   999.99    5.682
    195.07   999.99    5.868
    201.17   999.99    6.034
    207.26   999.99    6.215
    213.36   999.99    6.407
    219.46   999.99    6.595
    225.55   999.99    6.764
    231.65   999.99    6.918
    237.74   999.99    7.098
    243.84   999.99    7.266
    249.94   999.99    7.441
    256.03   999.99    7.623
    262.13   999.99    7.791
    268.22   999.99    7.959
    274.32   999.99    8.162
    280.42   999.99    8.344
    286.51   999.99    8.523
    292.61   999.99    8.724
    298.70   999.99    8.910
    304.80   999.99    9.114
    310.90   999.99    9.292
    316.99   999.99    9.492
    323.09   999.99    9.680
    329.18   999.99    9.858
    335.28   999.99   10.021
    341.38   999.99   10.206
    347.47   999.99   10.395
    353.57   999.99   10.572
    359.66   999.99   10.742
    365.76   999.99   10.930
    371.86   999.99   11.150
    377.95   999.99   11.280
    384.05   999.99   11.460
    387.10   999.99   11.560
