 << U.S. Geological Survey Borehole Temperature Log - Alaska >>
  
 Site:             PBA 
 Log Date:         70JUN26 
 Type of Log:      incremental 
 Type of Sensor:   thermistor network (custom)
 Measuring Device: digital multimeter
 Deconvolved:      N/A
  
  Z   = measured depth (m)
  TVD = true vertical depth (m)
  T   = temperature (C)
  
        Z      TVD       T
     15.14   999.99   -7.743
     30.28   999.99   -8.039
     45.43   999.99   -8.079
     60.57   999.99   -8.103
     75.71   999.99   -8.053
     90.85   999.99   -7.974
    106.00   999.99   -7.823
    121.14   999.99   -7.897
    136.28   999.99   -7.608
    151.42   999.99   -7.430
    166.57   999.99   -7.349
    181.71   999.99   -7.158
    196.85   999.99   -7.003
    211.99   999.99   -6.742
    227.14   999.99   -6.278
    242.28   999.99   -6.205
    257.42   999.99   -5.949
    272.56   999.99   -5.607
    287.71   999.99   -5.357
    302.85   999.99   -5.105
    317.99   999.99   -4.719
    333.13   999.99   -4.511
    348.28   999.99   -4.339
    363.42   999.99   -4.170
    378.56   999.99   -3.858
    393.70   999.99   -3.579
    408.85   999.99   -3.172
    423.99   999.99   -2.949
    439.13   999.99   -2.712
    454.27   999.99   -2.699
    469.42   999.99   -2.248
    484.56   999.99   -2.040
    499.70   999.99   -1.815
    514.84   999.99   -1.643
    529.99   999.99   -1.528
    545.13   999.99   -1.364
    560.27   999.99   -1.220
    575.41   999.99   -1.152
    590.56   999.99   -1.006
    605.70   999.99    -.860
    620.84   999.99    -.300
    635.98   999.99     .340
    651.13   999.99     .822
    666.27   999.99    1.245
    681.41   999.99    1.609
    696.55   999.99    1.986
    711.70   999.99    2.386
    726.84   999.99    2.834
    741.98   999.99    3.235
    757.12   999.99    3.620
