 << U.S. Geological Survey Borehole Temperature Log - Alaska >>
  
 Site:             PBA 
 Log Date:         73SEP20 
 Type of Log:      incremental 
 Type of Sensor:   thermistor network (custom)
 Measuring Device: digital multimeter
 Deconvolved:      N/A
  
  Z   = measured depth (m)
  TVD = true vertical depth (m)
  T   = temperature (C)
  
        Z      TVD       T
      7.62   999.99   -8.692
     15.24   999.99   -8.987
     22.86   999.99   -8.945
     30.48   999.99   -8.899
     38.10   999.99   -8.878
     45.72   999.99   -8.881
     53.34   999.99   -8.895
     60.96   999.99   -8.907
     68.58   999.99   -8.905
     76.20   999.99   -8.899
     83.82   999.99   -8.888
     91.44   999.99   -8.875
     99.06   999.99   -8.851
    106.68   999.99   -8.822
    114.30   999.99   -8.799
    121.92   999.99   -8.763
    129.54   999.99   -8.705
    137.16   999.99   -8.644
    144.78   999.99   -8.571
    152.40   999.99   -8.496
    160.02   999.99   -8.403
    167.64   999.99   -8.312
    175.26   999.99   -8.218
    182.88   999.99   -8.122
    190.50   999.99   -8.024
    198.12   999.99   -7.918
    205.74   999.99   -7.827
    213.36   999.99   -7.709
    220.98   999.99   -7.584
    228.60   999.99   -7.429
    236.22   999.99   -7.288
    243.84   999.99   -7.171
    251.46   999.99   -7.076
    259.08   999.99   -6.866
    266.70   999.99   -6.764
    274.32   999.99   -6.694
    281.94   999.99   -6.527
    289.56   999.99   -6.398
    297.18   999.99   -6.269
    304.80   999.99   -6.149
    312.42   999.99   -6.024
    320.04   999.99   -5.886
    327.66   999.99   -5.739
    335.28   999.99   -5.608
    342.90   999.99   -5.475
    350.52   999.99   -5.359
    358.14   999.99   -5.239
    365.76   999.99   -5.118
    373.38   999.99   -5.008
    381.00   999.99   -4.905
    388.62   999.99   -4.800
    396.24   999.99   -4.683
    403.86   999.99   -4.619
    411.48   999.99   -4.432
    419.10   999.99   -4.309
    426.72   999.99   -4.188
    434.34   999.99   -4.070
    441.96   999.99   -3.973
    449.58   999.99   -3.880
    457.20   999.99   -3.776
    460.25   999.99   -3.739
    463.30   999.99   -3.706
    466.34   999.99   -3.659
    469.39   999.99   -3.609
    472.44   999.99   -3.569
    475.49   999.99   -3.527
    478.54   999.99   -3.472
    481.58   999.99   -3.416
    484.63   999.99   -3.363
    487.68   999.99   -3.334
    490.73   999.99   -3.284
    493.78   999.99   -3.237
    496.83   999.99   -3.194
    499.87   999.99   -3.143
    502.92   999.99   -3.089
    505.97   999.99   -3.035
    509.02   999.99   -2.981
    512.07   999.99   -2.921
    515.11   999.99   -2.869
    518.16   999.99   -2.823
    521.21   999.99   -2.778
    524.26   999.99   -2.747
    527.31   999.99   -2.674
    530.35   999.99   -2.631
    533.40   999.99   -2.591
    536.45   999.99   -2.544
    539.50   999.99   -2.504
    542.55   999.99   -2.448
    545.59   999.99   -2.397
    548.64   999.99   -2.340
    551.69   999.99   -2.283
    554.74   999.99   -2.231
    557.79   999.99   -2.173
    560.83   999.99   -2.117
    563.88   999.99   -2.075
    566.93   999.99   -2.021
    569.98   999.99   -1.969
    573.03   999.99   -1.926
    576.07   999.99   -1.861
    579.12   999.99   -1.825
    582.17   999.99   -1.782
    585.22   999.99   -1.747
    588.27   999.99   -1.691
    591.31   999.99   -1.650
    594.36   999.99   -1.582
    597.41   999.99   -1.536
    600.46   999.99   -1.441
    603.51   999.99   -1.372
    606.55   999.99   -1.313
    609.60   999.99   -1.231
    612.65   999.99   -1.159
    615.70   999.99   -1.084
    618.75   999.99   -1.025
    621.79   999.99    -.956
    624.84   999.99    -.883
    627.89   999.99    -.819
    630.94   999.99    -.721
    633.99   999.99    -.643
    637.03   999.99    -.572
    640.08   999.99    -.474
    643.13   999.99    -.387
    646.18   999.99    -.296
    649.23   999.99    -.208
    652.27   999.99    -.100
    655.32   999.99    -.019
    658.37   999.99     .084
    661.42   999.99     .166
    664.47   999.99     .253
    667.51   999.99     .320
    670.56   999.99     .409
    673.61   999.99     .476
    676.66   999.99     .575
    679.71   999.99     .659
    682.75   999.99     .731
    685.80   999.99     .810
    688.85   999.99     .890
    691.90   999.99     .958
    694.95   999.99    1.045
    697.99   999.99    1.122
    701.04   999.99    1.122
    704.09   999.99    1.267
    707.14   999.99    1.275
    710.19   999.99    1.421
    713.23   999.99    1.495
    716.28   999.99    1.513
    719.33   999.99    1.603
    722.38   999.99    1.675
    725.43   999.99    1.834
    728.47   999.99    1.844
    731.52   999.99    1.992
    734.57   999.99    2.011
    737.62   999.99    2.155
    740.67   999.99    2.183
    743.71   999.99    2.271
    746.76   999.99    2.423
    749.81   999.99    2.423
    752.86   999.99    2.530
    755.91   999.99    2.594
    758.95   999.99    2.734
    762.00   999.99    2.644
