 << U.S. Geological Survey Borehole Temperature Log - Alaska >>
  
 Site:             PBB 
 Log Date:         71MAR27 
 Type of Log:      incremental 
 Type of Sensor:   thermistor network (custom)
 Measuring Device: digital multimeter
 Deconvolved:      N/A
  
  Z   = measured depth (m)
  TVD = true vertical depth (m)
  T   = temperature (C)
  
        Z      TVD       T
     21.34   999.99   -9.510
     28.96   999.99   -9.385
     36.58   999.99   -9.179
     44.20   999.99   -9.023
     51.82   999.99   -8.914
     59.44   999.99   -8.817
     67.06   999.99   -8.708
     74.68   999.99   -8.654
     82.30   999.99   -8.585
     89.92   999.99   -8.527
     97.54   999.99   -8.481
    105.16   999.99   -8.431
    112.78   999.99   -8.380
    120.40   999.99   -8.322
    128.02   999.99   -8.259
    135.64   999.99   -8.186
    143.26   999.99   -8.090
    150.88   999.99   -7.979
    158.50   999.99   -7.865
    166.12   999.99   -7.758
    173.74   999.99   -7.656
    181.36   999.99   -7.527
    188.98   999.99   -7.374
    196.60   999.99   -7.244
    204.22   999.99   -7.132
    211.84   999.99   -7.018
    219.46   999.99   -6.908
    227.08   999.99   -6.786
    234.70   999.99   -6.653
    242.32   999.99   -6.521
    249.94   999.99   -6.405
    257.56   999.99   -6.299
    265.18   999.99   -6.179
    272.80   999.99   -6.061
    280.42   999.99   -5.802
    288.04   999.99   -5.651
    295.66   999.99   -5.521
    303.28   999.99   -5.375
    310.90   999.99   -5.242
    318.52   999.99   -5.118
    326.14   999.99   -4.991
    333.76   999.99   -4.856
    341.38   999.99   -4.710
    349.00   999.99   -4.575
    356.62   999.99   -4.460
    364.24   999.99   -4.345
    371.86   999.99   -4.147
    379.48   999.99   -4.018
    387.10   999.99   -3.779
    394.72   999.99   -3.612
    402.34   999.99   -3.552
    409.96   999.99   -3.481
    417.58   999.99   -3.410
    425.20   999.99   -3.328
    432.82   999.99   -3.234
    440.44   999.99   -3.137
    448.06   999.99   -3.053
    455.68   999.99   -2.982
    463.30   999.99   -2.927
    470.92   999.99   -2.881
    478.54   999.99   -2.823
    486.16   999.99   -2.709
    493.78   999.99   -2.220
    501.40   999.99   -2.094
    509.02   999.99   -2.019
    516.64   999.99   -1.960
    524.26   999.99   -1.891
    531.88   999.99   -1.858
    539.50   999.99   -1.802
    547.12   999.99   -1.707
    554.74   999.99   -1.589
    562.36   999.99   -1.445
    569.98   999.99   -1.301
    577.60   999.99   -1.183
    585.22   999.99   -1.065
    592.84   999.99    -.955
    600.46   999.99    -.846
    608.08   999.99    -.723
    615.70   999.99    -.559
    623.32   999.99    -.351
    630.94   999.99    -.117
    638.56   999.99     .153
    646.18   999.99     .448
    653.80   999.99     .720
    661.42   999.99     .962
    669.04   999.99    1.223
    676.66   999.99    1.450
    684.28   999.99    1.645
    691.90   999.99    1.830
    699.52   999.99    2.051
    707.14   999.99    2.265
    714.76   999.99    2.495
    722.38   999.99    2.774
    730.00   999.99    3.079
    737.62   999.99    3.468
    745.24   999.99    3.851
    752.86   999.99    4.214
