 << U.S. Geological Survey Borehole Temperature Log - Alaska >>
  
 Site:             PBB 
 Log Date:         70JUN22 
 Type of Log:      incremental 
 Type of Sensor:   thermistor network (custom)
 Measuring Device: digital multimeter
 Deconvolved:      N/A
  
  Z   = measured depth (m)
  TVD = true vertical depth (m)
  T   = temperature (C)
  
        Z      TVD       T
     15.14   999.99   -8.363
     30.28   999.99   -8.308
     45.43   999.99   -8.252
     60.57   999.99   -8.202
     75.71   999.99   -8.141
     90.85   999.99   -8.048
    106.00   999.99   -7.967
    121.14   999.99   -7.843
    136.28   999.99   -7.641
    151.42   999.99   -7.427
    166.57   999.99   -7.122
    181.71   999.99   -6.815
    196.85   999.99   -6.592
    211.99   999.99   -6.372
    227.14   999.99   -6.224
    242.28   999.99   -5.913
    257.42   999.99   -5.525
    272.56   999.99   -5.341
    287.71   999.99   -5.025
    302.85   999.99   -4.719
    317.99   999.99   -4.518
    333.13   999.99   -4.203
    348.28   999.99   -3.952
    363.42   999.99   -3.711
    378.56   999.99   -3.460
    393.70   999.99   -3.261
    408.85   999.99   -3.063
    423.99   999.99   -2.790
    439.13   999.99   -2.250
    454.27   999.99   -1.946
    469.42   999.99   -1.760
    484.56   999.99   -1.662
    499.70   999.99   -1.366
    514.84   999.99   -1.178
    529.99   999.99   -1.179
    545.13   999.99    -.970
    560.27   999.99    -.818
    575.41   999.99    -.789
    590.56   999.99    -.710
    605.70   999.99    -.648
    620.84   999.99    -.283
    628.41   999.99     .268
    635.98   999.99     .668
    651.13   999.99    1.229
    666.27   999.99    1.687
    681.41   999.99    2.128
    696.55   999.99    2.529
    711.70   999.99    2.906
    726.84   999.99    3.544
    741.98   999.99    4.172
    757.12   999.99    4.580
