 << U.S. Geological Survey Borehole Temperature Log - Alaska >>
  
 Site:             PBC 
 Log Date:         71MAR28 
 Type of Log:      incremental 
 Type of Sensor:   thermistor network (custom)
 Measuring Device: digital multimeter
 Deconvolved:      N/A
  
  Z   = measured depth (m)
  TVD = true vertical depth (m)
  T   = temperature (C)
  
        Z      TVD       T
     15.24   999.99   -8.401
     30.48   999.99   -8.188
     45.72   999.99   -8.085
     60.96   999.99   -7.946
     76.20   999.99   -7.784
     91.44   999.99   -7.611
    106.68   999.99   -7.434
    121.92   999.99   -7.274
    137.16   999.99   -6.867
    152.40   999.99   -6.716
    167.64   999.99   -6.432
    182.88   999.99   -6.214
    198.12   999.99   -5.972
    213.36   999.99   -5.710
    228.60   999.99   -5.448
    243.84   999.99   -5.192
    259.08   999.99   -4.938
    274.32   999.99   -4.667
    289.56   999.99   -4.374
    304.80   999.99   -4.008
    320.04   999.99   -3.763
    335.28   999.99   -3.502
    350.52   999.99   -3.269
    365.76   999.99   -3.048
    381.00   999.99   -2.805
    396.24   999.99   -2.528
    411.48   999.99   -2.288
    426.72   999.99   -1.992
    441.96   999.99   -1.655
    457.20   999.99   -1.521
    472.44   999.99   -1.218
    487.68   999.99   -1.172
    502.92   999.99   -1.073
    518.16   999.99    -.841
    533.40   999.99    -.625
    548.64   999.99    -.665
    563.88   999.99    -.505
    579.12   999.99    -.076
    594.36   999.99     .333
    609.60   999.99     .714
    624.84   999.99    1.170
    640.08   999.99    1.599
    655.32   999.99    2.031
    670.56   999.99    2.474
    685.80   999.99    2.901
    716.28   999.99    3.810
    731.52   999.99    4.279
    746.76   999.99    4.641
    762.00   999.99    5.113
