 << U.S. Geological Survey Borehole Temperature Log - Alaska >>
  
 Site:             PBC 
 Log Date:         70JUN23 
 Type of Log:      incremental 
 Type of Sensor:   thermistor network (custom)
 Measuring Device: digital multimeter
 Deconvolved:      N/A
  
  Z   = measured depth (m)
  TVD = true vertical depth (m)
  T   = temperature (C)
  
        Z      TVD       T
     15.24   999.99   -8.240
     30.48   999.99   -7.911
     45.72   999.99   -7.794
     60.96   999.99   -7.656
     76.20   999.99   -7.482
     91.44   999.99   -7.262
    106.68   999.99   -7.031
    121.92   999.99   -6.977
    137.16   999.99   -6.766
    152.40   999.99   -6.375
    167.64   999.99   -5.952
    182.88   999.99   -5.859
    198.12   999.99   -5.647
    213.36   999.99   -5.396
    228.60   999.99   -5.153
    243.84   999.99   -4.893
    259.08   999.99   -4.660
    274.32   999.99   -4.361
    289.56   999.99   -4.088
    304.80   999.99   -3.656
    320.04   999.99   -3.503
    335.28   999.99   -3.216
    350.52   999.99   -2.987
    365.76   999.99   -2.735
    381.00   999.99   -2.461
    396.24   999.99   -1.927
    411.48   999.99   -1.457
    426.72   999.99    -.971
    441.96   999.99    -.798
    457.20   999.99    -.951
    472.44   999.99    -.921
    487.68   999.99    -.940
    502.92   999.99    -.789
    518.16   999.99    -.600
    533.40   999.99    -.503
    548.64   999.99    -.617
    563.88   999.99    -.450
    579.12   999.99     .099
    594.36   999.99     .512
    609.60   999.99     .872
    624.84   999.99    1.325
    640.08   999.99    1.782
    655.32   999.99    2.189
    670.56   999.99    2.646
    685.80   999.99    3.065
    701.04   999.99    3.503
    716.28   999.99    3.952
    731.52   999.99    4.422
    746.76   999.99    4.797
    762.00   999.99    5.265
