 << U.S. Geological Survey Borehole Temperature Log - Alaska >>
  
 Site:             PBC 
 Log Date:         73SEP21 
 Type of Log:      incremental 
 Type of Sensor:   thermistor network (custom)
 Measuring Device: digital multimeter
 Deconvolved:      N/A
  
  Z   = measured depth (m)
  TVD = true vertical depth (m)
  T   = temperature (C)
  
        Z      TVD       T
      7.62   999.99   -8.071
     15.24   999.99   -8.680
     22.86   999.99   -8.548
     30.48   999.99   -8.487
     38.10   999.99   -8.402
     45.72   999.99   -8.303
     53.34   999.99   -8.214
     60.96   999.99   -8.131
     68.58   999.99   -8.056
     76.20   999.99   -7.971
     83.82   999.99   -7.892
     91.44   999.99   -7.826
     99.06   999.99   -7.752
    106.68   999.99   -7.652
    114.30   999.99   -7.549
    121.92   999.99   -7.445
    129.54   999.99   -7.339
    137.16   999.99   -7.208
    144.78   999.99   -7.077
    152.40   999.99   -6.914
    160.02   999.99   -6.774
    167.64   999.99   -6.655
    175.26   999.99   -6.551
    182.88   999.99   -6.426
    190.50   999.99   -6.288
    198.12   999.99   -6.151
    205.74   999.99   -6.017
    213.36   999.99   -5.885
    220.98   999.99   -5.746
    228.60   999.99   -5.609
    236.22   999.99   -5.476
    243.84   999.99   -5.347
    251.46   999.99   -5.210
    259.08   999.99   -5.082
    266.70   999.99   -4.962
    274.32   999.99   -4.825
    281.94   999.99   -4.674
    289.56   999.99   -4.530
    297.18   999.99   -4.353
    304.80   999.99   -4.164
    312.42   999.99   -4.005
    320.04   999.99   -3.878
    327.66   999.99   -3.746
    335.28   999.99   -3.612
    342.90   999.99   -3.489
    350.52   999.99   -3.364
    358.14   999.99   -3.255
    365.76   999.99   -3.137
    373.38   999.99   -3.023
    381.00   999.99   -2.916
    388.62   999.99   -2.803
    396.24   999.99   -2.701
    403.86   999.99   -2.578
    411.48   999.99   -2.481
    419.10   999.99   -2.378
    426.72   999.99   -2.269
    434.34   999.99   -2.168
    441.96   999.99   -2.068
    449.58   999.99   -1.974
    457.20   999.99   -1.884
    460.25   999.99   -1.839
    463.30   999.99   -1.793
    466.34   999.99   -1.754
    469.39   999.99   -1.713
    472.44   999.99   -1.673
    475.49   999.99   -1.632
    478.54   999.99   -1.581
    481.58   999.99   -1.536
    484.63   999.99   -1.488
    487.68   999.99   -1.438
    490.73   999.99   -1.390
    493.78   999.99   -1.343
    496.83   999.99   -1.280
    499.87   999.99   -1.189
    502.92   999.99   -1.140
    505.97   999.99   -1.115
    509.02   999.99   -1.131
    512.07   999.99   -1.100
    515.11   999.99   -1.070
    518.16   999.99   -1.028
    521.21   999.99    -.994
    524.26   999.99    -.964
    527.31   999.99    -.927
    530.35   999.99    -.895
    533.40   999.99    -.848
    536.45   999.99    -.808
    539.50   999.99    -.781
    542.55   999.99    -.754
    545.59   999.99    -.731
    548.64   999.99    -.700
    551.69   999.99    -.661
    554.74   999.99    -.624
    557.79   999.99    -.574
    560.83   999.99    -.529
    563.88   999.99    -.469
    566.93   999.99    -.396
    569.98   999.99    -.315
    573.03   999.99    -.240
    576.07   999.99    -.154
    579.12   999.99    -.072
    582.17   999.99    -.007
    585.22   999.99     .082
    588.27   999.99     .158
    591.31   999.99     .244
    594.36   999.99     .322
    597.41   999.99     .384
    600.46   999.99     .463
    603.51   999.99     .537
    606.55   999.99     .631
    609.60   999.99     .701
    612.65   999.99     .798
    615.70   999.99     .876
    618.75   999.99     .953
    621.79   999.99    1.049
    624.84   999.99    1.149
    627.89   999.99    1.242
    630.94   999.99    1.328
    633.99   999.99    1.426
    637.03   999.99    1.515
    640.08   999.99    1.603
    643.13   999.99    1.695
    646.18   999.99    1.774
    649.23   999.99    1.860
    652.27   999.99    1.947
    655.32   999.99    2.054
    658.37   999.99    2.137
    661.42   999.99    2.227
    664.47   999.99    2.309
    667.51   999.99    2.399
    670.56   999.99    2.484
    673.61   999.99    2.559
    676.66   999.99    2.636
    679.71   999.99    2.732
    682.75   999.99    2.816
    685.80   999.99    2.905
    688.85   999.99    3.001
    691.90   999.99    3.092
    694.95   999.99    3.168
    697.99   999.99    3.278
    701.04   999.99    3.361
    704.09   999.99    3.472
    707.14   999.99    3.547
    710.19   999.99    3.641
    713.23   999.99    3.744
    716.28   999.99    3.831
    719.33   999.99    3.929
    722.38   999.99    4.025
    725.43   999.99    4.120
    728.47   999.99    4.208
    731.52   999.99    4.301
    734.57   999.99    4.379
    737.62   999.99    4.465
    740.67   999.99    4.521
    743.71   999.99    4.562
    746.76   999.99    4.695
    749.81   999.99    4.808
    752.86   999.99    4.911
    755.91   999.99    4.956
    758.95   999.99    5.003
    762.00   999.99    4.999
