 << U.S. Geological Survey Borehole Temperature Log - Alaska >>
  
 Site:             PBD 
 Log Date:         73SEP23 
 Type of Log:      incremental 
 Type of Sensor:   thermistor network (custom)
 Measuring Device: digital multimeter
 Deconvolved:      N/A
  
  Z   = measured depth (m)
  TVD = true vertical depth (m)
  T   = temperature (C)
  
        Z      TVD       T
      3.05   999.99   -6.047
      6.10   999.99   -8.742
      9.14   999.99   -9.538
     12.19   999.99   -9.607
     15.24   999.99   -9.551
     18.29   999.99   -9.494
     21.34   999.99   -9.440
     24.38   999.99   -9.376
     27.43   999.99   -9.301
     30.48   999.99   -9.235
     33.53   999.99   -9.180
     36.58   999.99   -9.119
     39.62   999.99   -9.074
     42.67   999.99   -9.005
     45.72   999.99   -8.958
     48.77   999.99   -8.930
     51.82   999.99   -8.893
     54.86   999.99   -8.868
     57.91   999.99   -8.846
     60.96   999.99   -8.823
     64.01   999.99   -8.800
     67.06   999.99   -8.778
     70.10   999.99   -8.752
     73.15   999.99   -8.719
     76.20   999.99   -8.692
     79.25   999.99   -8.668
     82.30   999.99   -8.642
     85.34   999.99   -8.617
     88.39   999.99   -8.592
     91.44   999.99   -8.570
     94.49   999.99   -8.552
     97.54   999.99   -8.532
    100.58   999.99   -8.513
    103.63   999.99   -8.491
    106.68   999.99   -8.471
    109.73   999.99   -8.443
    112.78   999.99   -8.415
    115.82   999.99   -8.379
    118.87   999.99   -8.349
    121.92   999.99   -8.319
    124.97   999.99   -8.288
    128.02   999.99   -8.253
    131.06   999.99   -8.249
    134.11   999.99   -8.237
    137.16   999.99   -8.222
    140.21   999.99   -8.198
    143.26   999.99   -8.177
    146.30   999.99   -8.150
    149.35   999.99   -8.122
    152.40   999.99   -8.090
    155.45   999.99   -8.063
    158.50   999.99   -7.995
    161.54   999.99   -7.969
    164.59   999.99   -7.922
    167.64   999.99   -7.881
    170.69   999.99   -7.838
    173.74   999.99   -7.808
    176.78   999.99   -7.685
    179.83   999.99   -7.637
    182.88   999.99   -7.594
    185.93   999.99   -7.534
    188.98   999.99   -7.507
    192.02   999.99   -7.444
    195.07   999.99   -7.387
    198.12   999.99   -7.330
    201.17   999.99   -7.280
    204.22   999.99   -7.234
    207.26   999.99   -7.185
    210.31   999.99   -7.142
    213.36   999.99   -7.094
    216.41   999.99   -7.047
    219.46   999.99   -7.007
    222.50   999.99   -6.948
    225.55   999.99   -6.923
    228.60   999.99   -6.880
    231.65   999.99   -6.829
    234.70   999.99   -6.786
    237.74   999.99   -6.725
    240.79   999.99   -6.667
    243.84   999.99   -6.617
    246.89   999.99   -6.556
    249.94   999.99   -6.504
    252.98   999.99   -6.453
    256.03   999.99   -6.405
    259.08   999.99   -6.347
    262.13   999.99   -6.294
    265.18   999.99   -6.247
    268.22   999.99   -6.192
    271.27   999.99   -6.139
    274.32   999.99   -6.105
    277.37   999.99   -5.967
    280.42   999.99   -5.942
    283.46   999.99   -5.887
    286.51   999.99   -5.833
    289.56   999.99   -5.756
    292.61   999.99   -5.719
    295.66   999.99   -5.650
    298.70   999.99   -5.588
    301.75   999.99   -5.533
    304.80   999.99   -5.469
    307.85   999.99   -5.411
    310.90   999.99   -5.342
    313.94   999.99   -5.286
    316.99   999.99   -5.232
    320.04   999.99   -5.186
    323.09   999.99   -5.152
    326.14   999.99   -5.043
    329.18   999.99   -4.932
    332.23   999.99   -4.905
    335.28   999.99   -4.835
    338.33   999.99   -4.779
    341.38   999.99   -4.717
    344.42   999.99   -4.670
    347.47   999.99   -4.633
    350.52   999.99   -4.581
    353.57   999.99   -4.540
    356.62   999.99   -4.494
    359.66   999.99   -4.441
    362.71   999.99   -4.415
    365.76   999.99   -4.361
    368.81   999.99   -4.358
    371.86   999.99   -4.362
    374.90   999.99   -4.365
    377.95   999.99   -4.371
