 << U.S. Geological Survey Borehole Temperature Log - Alaska >>
  
 Site:             PBF 
 Log Date:         71MAR28 
 Type of Log:      incremental 
 Type of Sensor:   thermistor network (custom)
 Measuring Device: digital multimeter
 Deconvolved:      N/A
  
  Z   = measured depth (m)
  TVD = true vertical depth (m)
  T   = temperature (C)
  
        Z      TVD       T
     15.24   999.99   -9.441
     30.48   999.99   -8.716
     45.72   999.99   -8.428
     60.96   999.99   -8.263
     76.20   999.99   -8.111
     91.44   999.99   -7.965
    106.68   999.99   -7.829
    121.92   999.99   -7.624
    137.16   999.99   -7.378
    152.40   999.99   -7.026
    167.64   999.99   -6.704
    182.88   999.99   -6.600
    198.12   999.99   -6.389
    213.36   999.99   -6.111
    228.60   999.99   -5.789
    243.84   999.99   -5.521
    259.08   999.99   -5.193
    274.32   999.99   -4.822
    289.56   999.99   -4.561
    304.80   999.99   -4.325
    320.04   999.99   -3.992
    335.28   999.99   -3.705
    350.52   999.99   -3.443
    365.76   999.99   -3.258
    381.00   999.99   -3.107
    396.24   999.99   -2.677
    411.48   999.99   -2.106
    426.72   999.99   -1.796
    441.96   999.99   -1.538
    457.20   999.99   -1.266
    472.44   999.99   -1.048
    487.68   999.99    -.959
    502.92   999.99    -.886
    518.16   999.99    -.728
    533.40   999.99    -.763
    548.64   999.99    -.649
    563.88   999.99    -.564
    579.12   999.99    -.512
    594.36   999.99    -.456
    609.60   999.99     .032
    624.84   999.99     .966
    640.08   999.99    1.475
    655.32   999.99    1.870
    670.56   999.99    2.315
    685.80   999.99    2.871
    701.04   999.99    3.508
    716.28   999.99    4.039
    731.52   999.99    4.497
