 << U.S. Geological Survey Borehole Temperature Log - Alaska >>
  
 Site:             PBF 
 Log Date:         70NOV07 
 Type of Log:      incremental 
 Type of Sensor:   thermistor network (custom)
 Measuring Device: digital multimeter
 Deconvolved:      N/A
  
  Z   = measured depth (m)
  TVD = true vertical depth (m)
  T   = temperature (C)
  
        Z      TVD       T
     15.24   999.99   -3.889
     30.48   999.99   -2.686
     45.72   999.99   -2.093
     60.96   999.99   -2.941
     91.44   999.99   -1.633
    121.92   999.99    -.882
    152.40   999.99    -.976
    182.88   999.99    -.757
    213.36   999.99    -.490
    243.84   999.99    -.433
    274.32   999.99    -.418
    304.80   999.99    -.379
    335.28   999.99    -.325
    365.76   999.99    -.322
    396.24   999.99    -.354
    426.72   999.99    -.280
    457.20   999.99    -.326
    487.68   999.99    -.305
    518.16   999.99    -.264
    548.64   999.99    -.171
    579.12   999.99    -.010
    609.60   999.99    3.491
    640.08   999.99    5.275
    670.56   999.99    5.948
    701.04   999.99    7.251
    731.52   999.99    8.500
    756.52   999.99    9.399
