 << U.S. Geological Survey Borehole Temperature Log - Alaska >>
  
 Site:             PBF 
 Log Date:         70NOV19 
 Type of Log:      incremental 
 Type of Sensor:   thermistor network (custom)
 Measuring Device: digital multimeter
 Deconvolved:      N/A
  
  Z   = measured depth (m)
  TVD = true vertical depth (m)
  T   = temperature (C)
  
        Z      TVD       T
     15.24   999.99   -5.389
     30.48   999.99   -4.793
     45.72   999.99   -4.507
     60.96   999.99   -4.911
     91.44   999.99   -4.101
    121.92   999.99   -2.565
    152.40   999.99   -1.852
    182.88   999.99   -1.217
    213.36   999.99    -.805
    243.84   999.99    -.608
    274.32   999.99    -.555
    304.80   999.99    -.506
    335.28   999.99    -.451
    365.76   999.99    -.452
    396.24   999.99    -.505
    426.72   999.99    -.415
    457.20   999.99    -.395
    487.68   999.99    -.398
    518.16   999.99    -.309
    548.64   999.99    -.316
    579.12   999.99    -.236
    609.60   999.99    1.918
    640.08   999.99    4.047
    670.56   999.99    4.749
    701.04   999.99    6.022
    731.52   999.99    7.111
    762.00   999.99    8.201
