 << U.S. Geological Survey Borehole Temperature Log - Alaska >>
  
 Site:             PBF 
 Log Date:         70DEC21 
 Type of Log:      incremental 
 Type of Sensor:   thermistor network (custom)
 Measuring Device: digital multimeter
 Deconvolved:      N/A
  
  Z   = measured depth (m)
  TVD = true vertical depth (m)
  T   = temperature (C)
  
        Z      TVD       T
     15.24   999.99   -7.000
     30.48   999.99   -7.040
     38.10   999.99   -6.940
     45.72   999.99   -6.910
     53.34   999.99   -6.950
     60.96   999.99   -6.950
     76.20   999.99   -6.740
     91.44   999.99   -6.590
    121.92   999.99   -6.060
    152.40   999.99   -4.760
    243.84   999.99   -2.660
    304.80   999.99   -1.150
    365.76   999.99    -.800
    396.24   999.99    -.860
    426.72   999.99    -.630
    502.92   999.99    -.580
    579.12   999.99    -.360
    594.36   999.99    -.270
    595.89   999.99    -.240
    597.41   999.99    -.190
    598.93   999.99    -.110
    600.46   999.99    -.030
    601.98   999.99     .010
    609.60   999.99     .710
    640.08   999.99    2.640
    701.04   999.99    4.650
