 << U.S. Geological Survey Borehole Temperature Log - Alaska >>
  
 Site:             PBG 
 Log Date:         71MAR27 
 Type of Log:      incremental 
 Type of Sensor:   thermistor network (custom)
 Measuring Device: digital multimeter
 Deconvolved:      N/A
  
  Z   = measured depth (m)
  TVD = true vertical depth (m)
  T   = temperature (C)
  
        Z      TVD       T
     30.48   999.99   -9.202
     38.10   999.99   -8.923
     45.72   999.99   -8.744
     53.34   999.99   -8.617
     60.96   999.99   -8.523
     68.58   999.99   -8.453
     76.20   999.99   -8.394
     83.82   999.99   -8.340
     91.44   999.99   -8.284
     99.06   999.99   -8.233
    106.68   999.99   -8.173
    114.30   999.99   -8.114
    121.92   999.99   -8.050
    129.54   999.99   -7.953
    137.16   999.99   -7.858
    144.78   999.99   -7.745
    152.40   999.99   -7.646
    160.02   999.99   -7.534
    167.64   999.99   -7.421
    175.26   999.99   -7.332
    182.88   999.99   -7.260
    190.50   999.99   -7.170
    198.12   999.99   -7.053
    205.74   999.99   -6.923
    213.36   999.99   -6.779
    220.98   999.99   -6.689
    228.60   999.99   -6.571
    236.22   999.99   -6.436
    243.84   999.99   -6.296
    251.46   999.99   -6.168
    259.08   999.99   -6.029
    266.70   999.99   -5.913
    274.32   999.99   -5.809
    281.94   999.99   -5.698
    289.56   999.99   -5.563
    297.18   999.99   -5.416
    304.80   999.99   -5.306
    312.42   999.99   -5.188
    320.04   999.99   -5.079
    327.66   999.99   -4.954
    335.28   999.99   -4.865
    342.90   999.99   -4.771
    350.52   999.99   -4.619
    358.14   999.99   -4.466
    365.76   999.99   -4.311
    373.38   999.99   -4.228
    381.00   999.99   -4.160
    388.62   999.99   -4.045
    396.24   999.99   -3.916
    403.86   999.99   -3.790
    411.48   999.99   -3.686
    419.10   999.99   -3.577
    426.72   999.99   -3.528
    434.34   999.99   -3.391
    441.96   999.99   -3.239
    449.58   999.99   -3.132
    457.20   999.99   -3.008
    464.82   999.99   -2.896
    472.44   999.99   -2.808
    480.06   999.99   -2.668
    487.68   999.99   -2.539
    495.30   999.99   -2.454
    502.92   999.99   -2.346
    510.54   999.99   -2.260
    518.16   999.99   -2.172
    525.78   999.99   -2.104
    533.40   999.99   -1.979
    541.02   999.99   -1.884
    548.64   999.99   -1.758
    556.26   999.99   -1.630
    563.88   999.99   -1.442
    571.50   999.99   -1.318
    579.12   999.99   -1.226
    586.74   999.99   -1.104
    594.36   999.99    -.978
    601.98   999.99    -.844
    609.60   999.99    -.783
    617.22   999.99    -.589
    624.84   999.99    -.286
    632.46   999.99     .062
    640.08   999.99     .364
    647.70   999.99     .641
    655.32   999.99     .897
    662.94   999.99    1.032
    670.56   999.99    1.374
    678.18   999.99    1.592
    685.80   999.99    1.796
    693.42   999.99    2.004
    701.04   999.99    2.209
    708.66   999.99    2.395
    716.28   999.99    2.604
    723.90   999.99    2.825
    731.52   999.99    3.048
    739.14   999.99    3.319
    746.76   999.99    3.547
    754.38   999.99    3.840
    762.00   999.99    4.033
    777.24   999.99    4.561
    792.48   999.99    5.033
    807.72   999.99    5.373
    822.96   999.99    5.850
    838.20   999.99    6.328
    853.44   999.99    6.793
    868.68   999.99    7.224
    883.92   999.99    7.745
    899.16   999.99    8.388
    914.40   999.99    9.046
    929.64   999.99    9.663
    944.88   999.99   10.330
    960.12   999.99   11.003
    975.36   999.99   11.488
    990.60   999.99   11.954
   1005.84   999.99   12.516
   1021.08   999.99   13.217
   1036.32   999.99   13.708
   1051.56   999.99   14.162
   1066.80   999.99   14.665
   1082.04   999.99   15.162
   1097.28   999.99   15.657
   1112.52   999.99   16.187
   1127.76   999.99   16.904
   1143.00   999.99   17.578
   1158.24   999.99   18.053
   1173.48   999.99   18.527
   1188.72   999.99   19.142
   1203.96   999.99   19.762
   1219.20   999.99   20.345
   1234.44   999.99   20.889
   1249.68   999.99   21.533
   1264.92   999.99   22.092
   1280.16   999.99   22.764
   1295.40   999.99   23.548
   1310.64   999.99   24.687
   1325.88   999.99   25.355
   1341.12   999.99   25.918
   1356.36   999.99   26.491
   1371.60   999.99   27.003
   1386.84   999.99   27.557
   1402.08   999.99   28.466
   1417.32   999.99   29.279
   1432.56   999.99   29.801
   1447.80   999.99   30.533
   1463.04   999.99   31.323
   1478.28   999.99   31.893
   1493.52   999.99   33.312
   1506.93   999.99   33.819
   1524.00   999.99   34.485
   1539.24   999.99   35.025
   1554.48   999.99   35.517
   1569.72   999.99   36.237
   1584.96   999.99   36.734
   1600.20   999.99   37.180
   1615.44   999.99   37.669
   1630.68   999.99   38.121
   1645.92   999.99   38.506
   1661.16   999.99   38.915
   1676.40   999.99   39.340
   1691.64   999.99   39.741
   1706.88   999.99   40.101
   1722.12   999.99   40.492
   1737.36   999.99   40.935
   1752.60   999.99   41.438
   1767.84   999.99   41.839
   1783.08   999.99   42.289
   1798.32   999.99   42.694
   1813.56   999.99   43.147
   1828.80   999.99   43.707
   1844.04   999.99   44.133
   1859.28   999.99   44.538
   1874.52   999.99   44.958
   1889.76   999.99   45.362
   1905.00   999.99   45.769
   1981.20   999.99   49.096
   2133.60   999.99   55.799
   2286.00   999.99   62.428
   2438.41   999.99   71.689
   2590.80   999.99   90.977
   2743.21   999.99   93.548
   2773.69   999.99   95.854
   2804.17   999.99   98.089
   2834.65   999.99  100.063
   2865.13   999.99  101.724
   2895.61   999.99  102.873
   2926.09   999.99  103.752
   2941.33   999.99  104.057
   2947.42   999.99  104.094
