 << U.S. Geological Survey Borehole Temperature Log - Alaska >>
  
 Site:             PBG 
 Log Date:         72APR30 
 Type of Log:      incremental 
 Type of Sensor:   thermistor network (custom)
 Measuring Device: digital multimeter
 Deconvolved:      N/A
  
  Z   = measured depth (m)
  TVD = true vertical depth (m)
  T   = temperature (C)
  
        Z      TVD       T
     45.72   999.99   -8.933
     53.34   999.99   -8.815
     60.96   999.99   -8.709
     68.58   999.99   -8.637
     76.20   999.99   -8.585
     83.82   999.99   -8.504
     91.44   999.99   -8.479
     99.06   999.99   -8.427
    106.68   999.99   -8.369
    114.30   999.99   -8.316
    121.92   999.99   -8.253
    129.54   999.99   -8.175
    137.16   999.99   -8.092
    144.78   999.99   -7.995
    152.40   999.99   -7.899
    160.02   999.99   -7.791
    167.64   999.99   -7.671
    175.26   999.99   -7.571
    182.88   999.99   -7.473
    190.50   999.99   -7.364
    198.12   999.99   -7.256
    205.74   999.99   -7.137
    213.36   999.99   -7.033
    220.98   999.99   -6.932
    228.60   999.99   -6.800
    236.22   999.99   -6.672
    243.84   999.99   -6.535
    251.46   999.99   -6.406
    259.08   999.99   -6.262
    266.70   999.99   -6.138
    274.32   999.99   -6.034
    281.94   999.99   -5.926
    289.56   999.99   -5.800
    297.18   999.99   -5.669
    304.80   999.99   -5.540
    312.42   999.99   -5.440
    320.04   999.99   -5.329
    327.66   999.99   -5.212
    335.28   999.99   -5.114
    342.90   999.99   -5.018
    350.52   999.99   -4.884
    358.14   999.99   -4.706
    365.76   999.99   -4.563
    373.38   999.99   -4.456
    381.00   999.99   -4.357
    388.62   999.99   -4.259
    396.24   999.99   -4.153
    403.86   999.99   -4.033
    411.48   999.99   -3.932
    419.10   999.99   -3.830
    426.72   999.99   -3.750
    434.34   999.99   -3.636
    441.96   999.99   -3.502
    449.58   999.99   -3.386
    457.20   999.99   -3.272
    464.82   999.99   -3.169
    472.44   999.99   -3.061
    480.06   999.99   -2.940
    487.68   999.99   -2.833
    495.30   999.99   -2.722
    502.92   999.99   -2.628
    510.54   999.99   -2.509
    518.16   999.99   -2.414
    525.78   999.99   -2.313
    533.40   999.99   -2.164
    541.02   999.99   -1.913
    548.64   999.99   -1.628
    556.26   999.99   -1.361
    563.88   999.99   -1.079
    571.50   999.99    -.848
    579.12   999.99    -.810
    586.74   999.99    -.783
    594.36   999.99    -.746
    601.98   999.99    -.814
    609.60   999.99    -.879
    617.22   999.99    -.742
    624.84   999.99    -.507
    632.46   999.99    -.222
    640.08   999.99     .058
    647.70   999.99     .316
    655.32   999.99     .588
    662.94   999.99     .838
    670.56   999.99    1.070
    678.18   999.99    1.284
    685.80   999.99    1.499
    693.42   999.99    1.704
    701.04   999.99    1.924
    708.66   999.99    2.122
    716.28   999.99    2.335
    723.90   999.99    2.546
    731.52   999.99    2.777
    739.14   999.99    3.023
    746.76   999.99    3.285
    754.38   999.99    3.538
    762.00   999.99    3.801
    769.62   999.99    4.031
    777.24   999.99    4.257
    784.86   999.99    4.370
    792.48   999.99    4.743
    800.10   999.99    4.951
    807.72   999.99    5.129
    815.34   999.99    5.408
    822.96   999.99    5.481
    830.58   999.99    5.808
    838.20   999.99    5.900
