 << U.S. Geological Survey Borehole Temperature Log - Alaska >>
  
 Site:             PBH 
 Log Date:         71MAR24 
 Type of Log:      incremental 
 Type of Sensor:   thermistor network (custom)
 Measuring Device: digital multimeter
 Deconvolved:      N/A
  
  Z   = measured depth (m)
  TVD = true vertical depth (m)
  T   = temperature (C)
  
        Z      TVD       T
     15.24   999.99   -9.799
     22.86   999.99   -9.135
     30.48   999.99   -8.867
     38.10   999.99   -8.692
     45.72   999.99   -8.560
     53.34   999.99   -8.469
     60.96   999.99   -8.451
     76.20   999.99   -8.368
     91.44   999.99   -8.250
    106.68   999.99   -8.150
    121.92   999.99   -8.045
    137.16   999.99   -7.823
    152.40   999.99   -7.411
    167.64   999.99   -7.100
    182.88   999.99   -6.894
    198.12   999.99   -6.697
    213.36   999.99   -6.213
    228.60   999.99   -5.609
    236.22   999.99   -5.767
    243.84   999.99   -5.730
    259.08   999.99   -5.517
    274.32   999.99   -5.120
    289.56   999.99   -4.821
    304.80   999.99   -4.420
    335.28   999.99   -3.575
    365.76   999.99   -2.992
    396.24   999.99   -2.446
    426.72   999.99   -1.932
    457.20   999.99   -1.454
    487.68   999.99   -1.188
    518.16   999.99    -.992
    548.64   999.99    -.921
    579.12   999.99    -.918
    609.60   999.99    -.796
    617.22   999.99    -.519
    624.84   999.99    -.020
    632.46   999.99     .474
    640.08   999.99     .751
    670.56   999.99    1.695
    701.04   999.99    2.494
    731.52   999.99    3.400
