 << U.S. Geological Survey Borehole Temperature Log - Alaska >>
  
 Site:             PBJ 
 Log Date:         71MAR25 
 Type of Log:      incremental 
 Type of Sensor:   thermistor network (custom)
 Measuring Device: digital multimeter
 Deconvolved:      N/A
  
  Z   = measured depth (m)
  TVD = true vertical depth (m)
  T   = temperature (C)
  
        Z      TVD       T
     15.24   999.99    -.574
     30.48   999.99    -.316
     60.96   999.99     .773
     91.44   999.99    2.399
    121.92   999.99    3.730
    152.40   999.99     .015
    167.64   999.99     .190
    182.88   999.99     .404
    198.12   999.99     .176
    213.36   999.99     .082
    228.60   999.99     .124
    243.84   999.99     .084
    259.08   999.99     .065
    274.32   999.99     .098
    289.56   999.99     .119
    304.80   999.99     .197
    320.04   999.99     .326
    335.28   999.99     .477
    350.52   999.99     .577
    365.76   999.99     .565
    381.00   999.99     .759
    396.24   999.99     .705
    411.48   999.99     .727
    426.72   999.99     .810
    441.96   999.99     .749
    457.20   999.99     .779
    472.44   999.99     .949
    487.68   999.99    1.117
    502.92   999.99    1.270
    518.16   999.99    1.261
    533.40   999.99    1.237
    548.64   999.99    1.525
    563.88   999.99    1.267
    579.12   999.99    1.698
    601.98   999.99    2.406
    609.60   999.99    3.596
    624.84   999.99    6.617
    640.08   999.99    7.543
    655.32   999.99    8.041
    670.56   999.99    8.256
    685.80   999.99    8.546
    701.04   999.99    8.786
    716.28   999.99    9.204
    731.52   999.99    9.143
