 << U.S. Geological Survey Borehole Temperature Log - Alaska >>
  
 Site:             PBM 
 Log Date:         70JUL03 
 Type of Log:      incremental 
 Type of Sensor:   thermistor network (custom)
 Measuring Device: digital multimeter
 Deconvolved:      N/A
  
  Z   = measured depth (m)
  TVD = true vertical depth (m)
  T   = temperature (C)
  
        Z      TVD       T
     91.44   999.99   -8.226
    121.92   999.99   -7.980
    152.40   999.99   -7.450
    182.88   999.99   -7.144
    213.36   999.99   -6.710
    243.84   999.99   -6.125
    274.32   999.99   -5.634
    304.80   999.99   -5.218
    335.28   999.99   -4.687
    365.76   999.99   -4.209
    396.24   999.99   -3.611
    426.72   999.99   -3.269
    457.20   999.99   -2.776
    487.68   999.99   -2.211
    518.16   999.99   -1.851
    548.64   999.99   -1.382
    579.12   999.99   -1.177
    609.60   999.99    -.085
    640.08   999.99     .856
    670.56   999.99    1.795
    685.80   999.99    2.232
    701.04   999.99    2.767
    716.28   999.99    3.209
    731.52   999.99    3.690
    746.76   999.99    4.074
    762.00   999.99    4.513
    777.24   999.99    4.906
    792.48   999.99    5.305
    807.72   999.99    5.798
    822.96   999.99    6.281
    838.20   999.99    6.716
    853.44   999.99    7.192
    868.68   999.99    7.651
    883.92   999.99    7.971
    899.16   999.99    8.452
    914.40   999.99    8.872
    929.64   999.99    9.337
    944.88   999.99    9.793
    960.12   999.99   10.335
    975.36   999.99   10.910
    990.60   999.99   11.633
   1005.84   999.99   12.282
   1021.08   999.99   12.915
   1036.32   999.99   13.481
   1051.56   999.99   13.918
   1066.80   999.99   14.383
   1082.04   999.99   14.969
   1097.28   999.99   15.666
   1112.52   999.99   16.122
   1127.76   999.99   16.603
   1143.00   999.99   17.076
   1173.48   999.99   18.064
   1188.72   999.99   18.605
   1203.96   999.99   19.340
   1219.20   999.99   20.016
   1234.44   999.99   20.418
   1249.68   999.99   20.849
   1264.92   999.99   21.511
   1280.16   999.99   22.148
   1295.40   999.99   22.731
   1310.64   999.99   23.192
   1325.88   999.99   23.805
   1341.12   999.99   24.444
   1356.36   999.99   25.211
   1371.60   999.99   25.796
   1386.84   999.99   27.039
   1402.08   999.99   27.656
   1417.32   999.99   28.192
   1432.56   999.99   28.881
   1447.80   999.99   29.472
   1463.04   999.99   30.444
   1478.28   999.99   31.264
   1493.52   999.99   32.128
   1508.76   999.99   32.936
   1524.00   999.99   33.648
   1539.24   999.99   34.341
   1554.48   999.99   35.290
   1569.72   999.99   35.792
   1584.96   999.99   36.359
   1600.20   999.99   36.923
   1615.44   999.99   37.443
   1630.68   999.99   37.875
   1645.92   999.99   38.364
   1661.16   999.99   38.968
   1676.40   999.99   39.679
   1691.64   999.99   40.123
   1706.88   999.99   40.567
   1722.12   999.99   41.048
   1737.36   999.99   41.501
   1749.56   999.99   41.802
