 << U.S. Geological Survey Borehole Temperature Log - Alaska >>
  
 Site:             PBO 
 Log Date:         68MAY25 
 Type of Log:      incremental 
 Type of Sensor:   thermistor network (custom)
 Measuring Device: digital multimeter
 Deconvolved:      N/A
  
  Z   = measured depth (m)
  TVD = true vertical depth (m)
  T   = temperature (C)
  
        Z      TVD       T
     10.00   999.99   -8.221
     20.00   999.99   -6.669
     30.00   999.99   -6.524
     40.00   999.99   -6.380
     50.00   999.99   -6.165
     60.00   999.99   -5.981
     70.00   999.99   -5.752
     80.00   999.99   -5.509
     90.00   999.99   -5.257
    100.00   999.99   -4.943
    110.00   999.99   -4.566
    120.00   999.99   -4.181
    130.00   999.99   -3.802
    140.00   999.99   -3.549
    150.00   999.99   -3.261
    160.00   999.99   -3.032
    170.00   999.99   -2.873
    180.00   999.99   -2.599
    190.00   999.99   -2.255
    200.00   999.99   -1.994
    210.00   999.99   -1.759
    220.00   999.99   -1.528
    230.00   999.99   -1.268
    240.00   999.99    -.967
    250.00   999.99    -.681
    260.00   999.99    -.376
    270.00   999.99    -.109
    280.00   999.99     .167
    290.00   999.99     .439
    300.00   999.99     .692
    310.00   999.99     .938
    320.00   999.99    1.205
    330.00   999.99    1.512
    340.00   999.99    1.773
    350.00   999.99    2.078
