 << U.S. Geological Survey Borehole Temperature Log - Alaska >>
  
 Site:             PEA 
 Log Date:         81AUG29 
 Type of Log:      incremental 
 Type of Sensor:   thermistor network (custom)
 Measuring Device: digital multimeter
 Deconvolved:      N/A
  
  Z   = measured depth (m)
  TVD = true vertical depth (m)
  T   = temperature (C)
  
        Z      TVD       T
     21.34   999.99   -8.148
     24.38   999.99   -8.170
     27.43   999.99   -8.161
     30.48   999.99   -8.138
     33.53   999.99   -8.107
     36.58   999.99   -8.068
     39.62   999.99   -8.024
     42.67   999.99   -7.970
     45.72   999.99   -7.919
     48.77   999.99   -7.842
     51.82   999.99   -7.783
     54.86   999.99   -7.706
     57.91   999.99   -7.632
     60.96   999.99   -7.567
     64.01   999.99   -7.496
     67.06   999.99   -7.408
     70.10   999.99   -7.319
     73.15   999.99   -7.222
     76.20   999.99   -7.128
     79.25   999.99   -7.036
     82.30   999.99   -6.945
     85.34   999.99   -6.828
     88.39   999.99   -6.728
     91.44   999.99   -6.621
     94.49   999.99   -6.496
     97.54   999.99   -6.376
    100.58   999.99   -6.258
    103.63   999.99   -6.154
    106.68   999.99   -6.067
    109.73   999.99   -5.964
    112.78   999.99   -5.883
    115.82   999.99   -5.785
    118.87   999.99   -5.690
    121.92   999.99   -5.602
    124.97   999.99   -5.506
    128.02   999.99   -5.403
    131.06   999.99   -5.312
    134.11   999.99   -5.217
    137.16   999.99   -5.131
    140.21   999.99   -5.054
    143.26   999.99   -4.956
    146.30   999.99   -4.865
    149.35   999.99   -4.762
    152.40   999.99   -4.636
    155.45   999.99   -4.527
    158.50   999.99   -4.423
    161.54   999.99   -4.355
    164.59   999.99   -4.268
    167.64   999.99   -4.189
    170.69   999.99   -4.117
    173.74   999.99   -4.036
    176.78   999.99   -3.966
    179.83   999.99   -3.895
    182.88   999.99   -3.813
    185.93   999.99   -3.721
    188.98   999.99   -3.644
    192.02   999.99   -3.552
    195.07   999.99   -3.467
    198.12   999.99   -3.306
    201.17   999.99   -3.273
    204.22   999.99   -3.182
    207.26   999.99   -3.055
    210.31   999.99   -2.964
    213.36   999.99   -2.843
    216.41   999.99   -2.728
    219.46   999.99   -2.603
    222.50   999.99   -2.490
    225.55   999.99   -2.332
    228.60   999.99   -2.201
    231.65   999.99   -2.085
    234.70   999.99   -1.953
    237.74   999.99   -1.838
    240.79   999.99   -1.719
    243.84   999.99   -1.625
    246.89   999.99   -1.537
    249.94   999.99   -1.417
    252.98   999.99   -1.315
    256.03   999.99   -1.210
    259.08   999.99   -1.067
    262.13   999.99    -.971
    265.18   999.99    -.875
    268.22   999.99    -.779
    271.27   999.99    -.686
    274.32   999.99    -.598
    277.37   999.99    -.476
    280.42   999.99    -.379
    283.46   999.99    -.199
    286.51   999.99    -.170
    289.56   999.99    -.074
    292.61   999.99     .018
    295.66   999.99     .097
    298.70   999.99     .180
    301.75   999.99     .258
    304.80   999.99     .353
    307.85   999.99     .430
    310.90   999.99     .509
    313.94   999.99     .584
    316.99   999.99     .675
    320.04   999.99     .754
    323.09   999.99     .847
    326.14   999.99     .934
    329.18   999.99    1.031
    332.23   999.99    1.119
    335.28   999.99    1.221
    338.33   999.99    1.311
    341.38   999.99    1.449
    344.42   999.99    1.529
    347.47   999.99    1.617
    350.52   999.99    1.687
    353.57   999.99    1.776
    356.62   999.99    1.859
    359.66   999.99    1.940
    362.71   999.99    2.047
    365.76   999.99    2.142
    368.81   999.99    2.243
    371.86   999.99    2.343
    374.90   999.99    2.434
    377.95   999.99    2.544
    381.00   999.99    2.632
    384.05   999.99    2.720
    387.10   999.99    2.802
    390.14   999.99    2.897
    393.19   999.99    2.990
    396.24   999.99    3.056
    399.29   999.99    3.157
    402.34   999.99    3.219
    405.38   999.99    3.296
    408.43   999.99    3.403
    411.48   999.99    3.489
    414.53   999.99    3.585
    417.58   999.99    3.691
    420.62   999.99    3.771
    423.67   999.99    3.865
    426.72   999.99    3.960
    429.77   999.99    4.044
    432.82   999.99    4.164
    435.86   999.99    4.237
    438.91   999.99    4.333
    441.96   999.99    4.418
    445.01   999.99    4.520
    448.06   999.99    4.617
    451.10   999.99    4.706
    454.15   999.99    4.790
    457.20   999.99    4.863
    460.25   999.99    4.954
    463.30   999.99    5.043
    466.34   999.99    5.121
    469.39   999.99    5.212
    472.44   999.99    5.285
    475.49   999.99    5.377
    478.54   999.99    5.464
    481.58   999.99    5.556
    484.63   999.99    5.643
    487.68   999.99    5.725
    490.73   999.99    5.823
    493.78   999.99    5.912
    496.83   999.99    6.008
    499.87   999.99    6.107
    502.92   999.99    6.204
    505.97   999.99    6.343
    509.02   999.99    6.417
    512.07   999.99    6.525
    515.11   999.99    6.630
    518.16   999.99    6.726
    521.21   999.99    6.825
    524.26   999.99    6.923
    527.31   999.99    7.007
    530.35   999.99    7.089
    533.40   999.99    7.202
    536.45   999.99    7.314
    539.50   999.99    7.426
    542.55   999.99    7.522
    545.59   999.99    7.611
    548.64   999.99    7.694
    551.69   999.99    7.775
    554.74   999.99    7.816
    557.79   999.99    8.029
    560.83   999.99    8.194
    563.88   999.99    8.215
    566.93   999.99    8.440
    569.98   999.99    8.464
    573.03   999.99    8.502
    576.07   999.99    8.552
    579.12   999.99    8.620
    582.17   999.99    8.639
