 << U.S. Geological Survey Borehole Temperature Log - Alaska >>
  
 Site:             PN2 
 Log Date:         75AUG08 
 Type of Log:      incremental 
 Type of Sensor:   thermistor network (custom)
 Measuring Device: digital multimeter
 Deconvolved:      N/A
  
  Z   = measured depth (m)
  TVD = true vertical depth (m)
  T   = temperature (C)
  
        Z      TVD       T
      9.14   999.99     .962
     12.19   999.99    1.278
     15.24   999.99    1.570
     18.29   999.99    1.661
     21.34   999.99    1.813
     24.38   999.99    1.867
     27.43   999.99    1.919
     30.48   999.99    1.976
     33.53   999.99    2.042
     36.58   999.99    2.091
     39.62   999.99    2.180
     42.67   999.99    2.262
     45.72   999.99    2.321
     48.77   999.99    2.398
     51.82   999.99    2.536
     54.86   999.99    2.671
     57.91   999.99    2.757
     60.96   999.99    2.835
     64.01   999.99    2.952
     67.06   999.99    3.022
     70.10   999.99    3.106
     73.15   999.99    3.202
     76.20   999.99    3.293
     79.25   999.99    3.391
     82.30   999.99    3.474
     85.34   999.99    3.568
     88.39   999.99    3.648
     91.44   999.99    3.723
     94.49   999.99    3.799
     97.54   999.99    3.882
    100.58   999.99    3.979
    103.63   999.99    4.045
    106.68   999.99    4.144
    109.73   999.99    4.243
    112.78   999.99    4.327
    115.82   999.99    4.408
    118.87   999.99    4.481
    121.92   999.99    4.568
    124.97   999.99    4.656
    128.02   999.99    4.734
    128.75   999.99    4.769
