 << U.S. Geological Survey Borehole Temperature Log - Alaska >>
  
 Site:             SBE 
 Log Date:         84AUG11 
 Type of Log:      continuous  
 Type of Sensor:   thermistor network (custom)
 Measuring Device: digital multimeter
 Deconvolved:      no 
  
  Z   = measured depth (m)
  TVD = true vertical depth (m)
  T   = temperature (C)
  
        Z      TVD       T
      5.49   999.99   -1.790
      5.79   999.99   -1.933
      6.10   999.99   -2.127
      6.40   999.99   -2.248
      6.71   999.99   -2.370
      7.01   999.99   -2.639
      7.32   999.99   -2.729
      7.62   999.99   -2.827
      7.92   999.99   -2.992
      8.23   999.99   -3.074
      8.53   999.99   -3.179
      8.84   999.99   -3.302
      9.14   999.99   -3.417
      9.45   999.99   -3.567
      9.75   999.99   -3.721
     10.06   999.99   -3.845
     10.36   999.99   -3.970
     10.67   999.99   -4.089
     10.97   999.99   -4.199
     11.28   999.99   -4.324
     11.58   999.99   -4.450
     11.89   999.99   -4.525
     12.19   999.99   -4.636
     12.50   999.99   -4.696
     12.80   999.99   -4.762
     13.11   999.99   -4.869
     13.41   999.99   -4.916
     13.72   999.99   -4.951
     14.02   999.99   -5.016
     14.33   999.99   -5.048
     14.63   999.99   -5.098
     14.94   999.99   -5.163
     15.24   999.99   -5.202
     15.54   999.99   -5.253
     15.85   999.99    -.631
     16.15   999.99    -.620
     16.46   999.99    -.635
     16.76   999.99    -.657
     17.07   999.99    -.672
     17.37   999.99    -.693
     17.68   999.99    -.722
     17.98   999.99    -.738
     18.29   999.99    -.765
     18.59   999.99    -.798
     18.90   999.99    -.830
     19.20   999.99    -.878
     19.51   999.99    -.938
     19.81   999.99    -.980
     20.12   999.99   -1.022
     20.42   999.99   -1.069
     20.73   999.99   -1.109
     21.03   999.99   -1.197
     21.34   999.99   -1.262
     21.64   999.99   -1.321
     21.95   999.99   -1.386
     22.25   999.99   -1.441
     22.56   999.99   -1.502
     22.86   999.99   -1.565
     23.16   999.99   -1.624
     23.47   999.99   -1.682
     23.77   999.99   -1.747
     24.08   999.99   -1.806
     24.38   999.99   -1.868
     24.69   999.99   -1.944
     24.99   999.99   -2.005
     25.30   999.99   -2.068
     25.60   999.99   -2.133
     25.91   999.99   -2.191
     26.21   999.99   -2.260
     26.52   999.99   -2.330
     26.82   999.99   -2.400
     27.13   999.99   -2.474
     27.43   999.99   -2.538
     27.74   999.99   -2.613
     28.04   999.99   -2.700
     28.35   999.99   -2.781
     28.65   999.99   -2.867
     28.96   999.99   -2.960
     29.26   999.99   -3.058
     29.57   999.99   -3.149
     29.87   999.99   -3.236
     30.18   999.99   -3.318
     30.48   999.99   -3.407
     30.78   999.99   -3.501
     31.09   999.99   -3.585
     31.39   999.99   -3.695
     31.70   999.99   -3.788
     32.00   999.99   -3.857
     32.31   999.99   -3.944
     32.61   999.99   -4.014
     32.92   999.99   -4.083
     33.22   999.99   -4.167
     33.53   999.99   -4.232
     33.83   999.99   -4.298
     34.14   999.99   -4.370
     34.44   999.99   -4.427
     34.75   999.99   -4.490
     35.05   999.99   -4.552
     35.36   999.99   -4.598
     35.66   999.99   -4.661
     35.97   999.99   -4.709
     36.27   999.99   -4.752
     36.58   999.99   -4.803
     36.88   999.99   -4.850
     37.19   999.99   -4.894
     37.49   999.99   -4.945
     37.80   999.99   -4.983
     38.10   999.99   -5.025
     38.40   999.99   -5.069
     38.71   999.99   -5.105
     39.01   999.99   -5.138
     39.32   999.99   -5.172
     39.62   999.99   -5.202
     39.93   999.99   -5.232
     40.23   999.99   -5.259
     40.54   999.99   -5.285
     40.84   999.99   -5.313
     41.15   999.99   -5.337
     41.45   999.99   -5.359
     41.76   999.99   -5.387
     42.06   999.99   -5.407
     42.37   999.99   -5.429
     42.67   999.99   -5.455
     42.98   999.99   -5.476
     43.28   999.99   -5.495
     43.59   999.99   -5.514
     43.89   999.99   -5.531
     44.20   999.99   -5.548
     44.50   999.99   -5.565
     44.81   999.99   -5.579
     45.11   999.99   -5.597
     45.42   999.99   -5.610
     45.72   999.99   -5.623
     46.02   999.99   -5.638
     46.33   999.99   -5.649
     46.63   999.99   -5.662
     46.94   999.99   -5.674
     47.24   999.99   -5.686
     47.55   999.99   -5.697
     47.85   999.99   -5.707
     48.16   999.99   -5.715
     48.46   999.99   -5.739
     48.77   999.99   -5.864
     49.07   999.99   -5.938
     49.38   999.99   -6.000
