 << U.S. Geological Survey Borehole Temperature Log - Alaska >>
  
 Site:             SME 
 Log Date:         83AUG21 
 Type of Log:      incremental 
 Type of Sensor:   thermistor network (custom)
 Measuring Device: digital multimeter
 Deconvolved:      N/A
  
  Z   = measured depth (m)
  TVD = true vertical depth (m)
  T   = temperature (C)
  
        Z      TVD       T
     18.75   999.99   -8.539
     21.79   999.99   -8.314
     24.84   999.99   -8.118
     27.89   999.99   -7.910
     30.94   999.99   -7.743
     33.99   999.99   -7.585
     37.03   999.99   -7.430
     40.08   999.99   -7.230
     45.72   999.99   -6.885
     48.77   999.99   -6.762
     51.82   999.99   -6.583
     54.86   999.99   -6.400
     57.91   999.99   -6.213
     60.96   999.99   -6.041
     64.01   999.99   -5.885
     67.06   999.99   -5.730
     70.10   999.99   -5.581
     73.15   999.99   -5.410
     76.20   999.99   -5.268
     79.25   999.99   -5.068
     82.30   999.99   -4.900
     85.34   999.99   -4.724
     88.39   999.99   -4.569
     91.44   999.99   -4.405
     94.49   999.99   -4.249
     97.54   999.99   -4.116
    100.58   999.99   -4.004
    103.63   999.99   -3.901
    106.68   999.99   -3.805
    109.73   999.99   -3.669
    112.78   999.99   -3.496
    115.82   999.99   -3.307
    118.87   999.99   -3.167
    121.92   999.99   -2.986
    124.97   999.99   -2.815
    128.02   999.99   -2.628
    131.06   999.99   -2.454
    134.11   999.99   -2.248
    137.16   999.99   -2.066
    140.21   999.99   -1.867
    143.26   999.99   -1.683
    146.30   999.99   -1.539
    149.35   999.99   -1.390
    152.40   999.99   -1.274
    155.45   999.99   -1.168
    158.50   999.99   -1.092
    161.54   999.99   -1.016
    164.59   999.99    -.962
    167.64   999.99    -.890
    170.69   999.99    -.785
    173.74   999.99    -.653
    176.78   999.99    -.497
    179.83   999.99    -.373
    182.88   999.99    -.263
    185.93   999.99    -.140
    188.98   999.99     .011
    192.02   999.99     .180
    195.07   999.99     .298
    198.12   999.99     .430
    201.17   999.99     .562
    204.22   999.99     .664
    207.26   999.99     .784
    210.31   999.99     .919
    213.36   999.99    1.032
    216.41   999.99    1.152
    219.46   999.99    1.276
    222.50   999.99    1.399
    225.55   999.99    1.504
    228.60   999.99    1.600
    231.65   999.99    1.700
    234.70   999.99    1.801
    237.74   999.99    1.915
    240.79   999.99    2.030
    243.84   999.99    2.145
    246.89   999.99    2.258
    249.94   999.99    2.369
    252.98   999.99    2.491
    256.03   999.99    2.609
    259.08   999.99    2.734
    262.13   999.99    2.860
    265.18   999.99    2.993
    268.22   999.99    3.131
    271.27   999.99    3.283
    274.32   999.99    3.411
    277.37   999.99    3.546
    280.42   999.99    3.651
    283.46   999.99    3.753
    286.51   999.99    3.859
    289.56   999.99    3.964
    292.61   999.99    4.074
    295.66   999.99    4.189
    298.70   999.99    4.340
    301.75   999.99    4.490
    304.80   999.99    4.691
    307.85   999.99    4.876
    310.90   999.99    5.047
    313.94   999.99    5.205
    316.99   999.99    5.340
    320.04   999.99    5.494
    323.09   999.99    5.654
    326.14   999.99    5.830
    329.18   999.99    5.952
    332.23   999.99    6.112
    335.28   999.99    6.220
    338.33   999.99    6.323
    341.38   999.99    6.413
    344.42   999.99    6.510
    347.47   999.99    6.601
    350.52   999.99    6.743
    353.57   999.99    6.889
    356.62   999.99    7.031
    359.66   999.99    7.160
    362.71   999.99    7.295
    365.76   999.99    7.440
    368.81   999.99    7.598
    371.86   999.99    7.761
    374.90   999.99    7.924
    377.95   999.99    8.081
    381.00   999.99    8.252
    384.05   999.99    8.438
    387.10   999.99    8.615
    390.14   999.99    8.811
    393.19   999.99    9.041
    396.24   999.99    9.242
    399.29   999.99    9.463
    402.34   999.99    9.621
    405.38   999.99    9.742
    408.43   999.99    9.893
    411.48   999.99   10.025
    414.53   999.99   10.157
    417.58   999.99   10.300
    420.62   999.99   10.432
    423.67   999.99   10.561
    426.72   999.99   10.685
    429.77   999.99   10.790
    432.82   999.99   10.897
    435.86   999.99   11.005
    438.91   999.99   11.137
    441.96   999.99   11.258
    445.01   999.99   11.361
    448.06   999.99   11.491
    451.10   999.99   11.624
    454.15   999.99   11.743
    457.20   999.99   11.863
    460.25   999.99   12.019
    463.30   999.99   12.160
    466.34   999.99   12.284
    469.39   999.99   12.426
    472.44   999.99   12.532
    475.49   999.99   12.662
    478.54   999.99   12.792
    481.58   999.99   12.899
    484.63   999.99   13.012
    487.68   999.99   13.132
    490.73   999.99   13.233
    493.78   999.99   13.356
    496.83   999.99   13.456
    499.87   999.99   13.578
    502.92   999.99   13.674
    505.97   999.99   14.109
    509.02   999.99   14.171
    512.07   999.99   14.272
    515.11   999.99   14.392
    518.16   999.99   14.529
    521.21   999.99   14.664
    524.26   999.99   14.802
    527.31   999.99   14.910
    530.35   999.99   15.017
    533.40   999.99   15.119
    536.45   999.99   15.213
    539.50   999.99   15.277
