 << U.S. Geological Survey Borehole Temperature Log - Alaska >>
  
 Site:             SME 
 Log Date:         79SEP14 
 Type of Log:      incremental 
 Type of Sensor:   thermistor network (custom)
 Measuring Device: digital multimeter
 Deconvolved:      N/A
  
  Z   = measured depth (m)
  TVD = true vertical depth (m)
  T   = temperature (C)
  
        Z      TVD       T
      9.14   999.99   -6.566
     12.19   999.99   -6.845
     15.24   999.99   -6.797
     18.29   999.99   -6.696
     21.34   999.99   -6.595
     24.38   999.99   -6.469
     27.43   999.99   -6.324
     30.48   999.99   -6.158
     33.53   999.99   -5.997
     36.58   999.99   -5.897
     39.62   999.99   -5.759
     42.67   999.99   -5.600
     45.72   999.99   -5.451
     48.77   999.99   -5.274
     51.82   999.99   -5.093
     54.86   999.99   -4.881
     57.91   999.99   -4.741
     60.96   999.99   -4.568
     64.01   999.99   -4.381
     67.06   999.99   -4.251
     70.10   999.99   -4.073
     73.15   999.99   -3.945
     76.20   999.99   -3.820
     79.25   999.99   -3.663
     82.30   999.99   -3.494
     85.34   999.99   -3.343
     88.39   999.99   -3.193
     91.44   999.99   -2.986
     94.49   999.99   -2.805
     97.54   999.99   -2.634
    100.58   999.99   -2.463
    103.63   999.99   -2.344
    106.68   999.99   -2.274
    109.73   999.99   -2.201
    112.78   999.99   -2.094
    115.82   999.99   -1.939
    118.87   999.99   -1.772
    121.92   999.99   -1.662
    124.97   999.99   -1.544
    128.02   999.99   -1.431
    131.06   999.99   -1.322
    134.11   999.99   -1.202
    137.16   999.99   -1.069
    140.21   999.99    -.961
    143.26   999.99    -.895
    146.30   999.99    -.833
    149.35   999.99    -.779
    152.40   999.99    -.772
    155.45   999.99    -.769
    158.50   999.99    -.711
    161.54   999.99    -.576
    164.59   999.99    -.308
    167.64   999.99    -.063
    170.69   999.99     .272
    173.74   999.99     .595
    176.78   999.99     .852
    179.83   999.99    1.083
    182.88   999.99    1.264
    185.93   999.99    1.427
    188.98   999.99    1.571
    192.02   999.99    1.684
    195.07   999.99    1.787
    198.12   999.99    1.881
    201.17   999.99    1.998
    204.22   999.99    2.120
    207.26   999.99    2.254
    210.31   999.99    2.370
    213.36   999.99    2.515
    216.41   999.99    2.650
    219.46   999.99    2.759
    222.50   999.99    2.861
    225.55   999.99    2.948
    228.60   999.99    3.018
    231.65   999.99    3.094
    234.70   999.99    3.161
    237.74   999.99    3.257
    240.79   999.99    3.375
    243.84   999.99    3.488
    246.89   999.99    3.604
    249.94   999.99    3.715
    252.98   999.99    3.833
    256.03   999.99    3.959
    259.08   999.99    4.101
    262.13   999.99    4.234
    265.18   999.99    4.374
    268.22   999.99    4.514
    271.27   999.99    4.678
    274.32   999.99    4.791
    277.37   999.99    4.912
    280.42   999.99    5.007
    283.46   999.99    5.093
    286.51   999.99    5.174
    289.56   999.99    5.288
    292.61   999.99    5.393
    295.66   999.99    5.502
    298.70   999.99    5.665
    301.75   999.99    5.833
    304.80   999.99    6.014
    307.85   999.99    6.222
    310.90   999.99    6.407
    313.94   999.99    6.537
    316.99   999.99    6.680
    320.04   999.99    6.839
    323.09   999.99    7.052
    326.14   999.99    7.307
    329.18   999.99    7.501
    332.23   999.99    7.699
    335.28   999.99    7.867
    338.33   999.99    7.958
    341.38   999.99    8.025
    344.42   999.99    8.084
    347.47   999.99    8.160
    350.52   999.99    8.238
    353.57   999.99    8.350
    356.62   999.99    8.427
    359.66   999.99    8.504
    362.71   999.99    8.580
    365.76   999.99    8.710
    368.81   999.99    8.848
    371.86   999.99    8.993
    374.90   999.99    9.157
    377.95   999.99    9.314
    381.00   999.99    9.487
    384.05   999.99    9.667
    387.10   999.99    9.849
    390.14   999.99   10.031
    393.19   999.99   10.274
    396.24   999.99   10.517
    399.29   999.99   10.781
    402.34   999.99   10.933
    405.38   999.99   11.062
    408.43   999.99   11.191
    411.48   999.99   11.336
    414.53   999.99   11.484
    417.58   999.99   11.669
    420.62   999.99   11.890
    423.67   999.99   12.178
    426.72   999.99   12.536
    429.77   999.99   12.749
    432.82   999.99   12.811
    435.86   999.99   12.712
    438.91   999.99   12.613
    441.96   999.99   12.592
    445.01   999.99   12.629
    448.06   999.99   12.711
    451.10   999.99   12.828
    454.15   999.99   12.971
    457.20   999.99   13.095
    460.25   999.99   13.240
    463.30   999.99   13.397
    466.34   999.99   13.574
    469.39   999.99   13.692
    472.44   999.99   13.796
    475.49   999.99   13.926
    478.54   999.99   14.029
    481.58   999.99   14.131
    484.63   999.99   14.230
    487.68   999.99   14.368
    490.73   999.99   14.498
    493.78   999.99   14.611
    496.83   999.99   14.719
    499.87   999.99   14.849
    502.92   999.99   14.972
    505.97   999.99   15.066
    509.02   999.99   15.398
    512.07   999.99   15.463
    515.11   999.99   15.564
    518.16   999.99   15.667
    521.21   999.99   15.763
    524.26   999.99   15.900
    527.31   999.99   16.045
    530.35   999.99   16.126
    533.40   999.99   16.243
    536.45   999.99   16.301
    539.50   999.99   16.430
    540.72   999.99   16.498
