 << U.S. Geological Survey Borehole Temperature Log - Alaska >>
  
 Site:             SO2 
 Log Date:         50JUN00 
 Type of Log:      incremental 
 Type of Sensor:   thermistors
 Measuring Device: bridge
 Deconvolved:      N/A
  
  Z   = measured depth (m)
  TVD = true vertical depth (m)
  T   = temperature (C)
  
        Z      TVD       T
     22.86   999.99   -9.237
     28.96   999.99   -9.359
     35.05   999.99   -9.452
     41.15   999.99   -9.438
     47.24   999.99   -9.437
     53.34   999.99   -9.401
     59.44   999.99   -9.370
     65.53   999.99   -9.218
     71.63   999.99   -9.113
     77.72   999.99   -8.985
     83.82   999.99   -8.886
     89.92   999.99   -8.735
     96.01   999.99   -8.585
    102.11   999.99   -8.422
    108.20   999.99   -8.289
    114.30   999.99   -8.125
    120.40   999.99   -7.903
    126.49   999.99   -7.756
    132.59   999.99   -7.572
    138.68   999.99   -7.352
    144.78   999.99   -7.219
    150.88   999.99   -6.997
    156.97   999.99   -6.845
    163.07   999.99   -6.632
    169.16   999.99   -6.495
    175.26   999.99   -6.287
    181.36   999.99   -6.191
