 << U.S. Geological Survey Borehole Temperature Log - Alaska >>
  
 Site:             SO2 
 Log Date:         58JUL00 
 Type of Log:      incremental 
 Type of Sensor:   thermistors
 Measuring Device: bridge
 Deconvolved:      N/A
  
  Z   = measured depth (m)
  TVD = true vertical depth (m)
  T   = temperature (C)
  
        Z      TVD       T
     22.86   999.99   -9.597
     28.96   999.99   -9.747
     35.05   999.99   -9.873
     41.15   999.99   -9.918
     47.24   999.99   -9.935
     53.34   999.99   -9.916
     59.44   999.99   -9.835
     65.53   999.99   -9.767
     71.63   999.99   -9.624
     77.72   999.99   -9.509
     83.82   999.99   -9.435
     89.92   999.99   -9.292
     96.01   999.99   -9.179
    102.11   999.99   -9.039
    108.20   999.99   -8.868
    114.30   999.99   -8.678
    120.40   999.99   -8.465
    126.49   999.99   -8.306
    132.59   999.99   -8.124
    138.68   999.99   -7.902
    144.78   999.99   -7.775
    150.88   999.99   -7.546
    156.97   999.99   -7.390
    163.07   999.99   -7.196
    169.16   999.99   -7.057
    175.26   999.99   -6.814
    181.36   999.99   -6.689
