 << U.S. Geological Survey Borehole Temperature Log - Alaska >>
  
 Site:             SOH 
 Log Date:         84AUG08 
 Type of Log:      incremental  
 Type of Sensor:   thermistor network (custom)
 Measuring Device: digital multimeter
 Deconvolved:      N/A
  
  Z   = measured depth (m)
  TVD = true vertical depth (m)
  T   = temperature (C)
  
        Z      TVD       T
     15.24   999.99  -10.707
     16.76   999.99  -10.565
     18.29   999.99  -10.420
     19.81   999.99  -10.307
     21.34   999.99  -10.190
     22.86   999.99  -10.076
     24.38   999.99   -9.990
     25.91   999.99   -9.899
     27.43   999.99   -9.823
     28.96   999.99   -9.755
     30.48   999.99   -9.690
     32.00   999.99   -9.638
     33.53   999.99   -9.583
     35.05   999.99   -9.540
     36.58   999.99   -9.496
     38.10   999.99   -9.456
     39.62   999.99   -9.422
     41.15   999.99   -9.389
     42.67   999.99   -9.351
     44.20   999.99   -9.316
     45.72   999.99   -9.292
     47.24   999.99   -9.264
     48.77   999.99   -9.235
     50.29   999.99   -9.212
     51.82   999.99   -9.193
     53.34   999.99   -9.172
     54.86   999.99   -9.154
     56.39   999.99   -9.134
     57.91   999.99   -9.116
     59.44   999.99   -9.103
     60.96   999.99   -9.086
     62.48   999.99   -9.073
     64.01   999.99   -9.057
     65.53   999.99   -9.042
     67.06   999.99   -9.024
     68.58   999.99   -9.007
     70.10   999.99   -8.993
     71.63   999.99   -8.979
     73.15   999.99   -8.957
     74.68   999.99   -8.943
     76.20   999.99   -8.919
     77.72   999.99   -8.900
     79.25   999.99   -8.879
     80.77   999.99   -8.860
     82.30   999.99   -8.840
     83.82   999.99   -8.818
     85.34   999.99   -8.798
     86.87   999.99   -8.773
     88.39   999.99   -8.749
     89.92   999.99   -8.721
     91.44   999.99   -8.698
     92.96   999.99   -8.672
     94.49   999.99   -8.646
     96.01   999.99   -8.613
     97.54   999.99   -8.583
     99.06   999.99   -8.546
    100.58   999.99   -8.516
    102.11   999.99   -8.482
    103.63   999.99   -8.439
    105.16   999.99   -8.392
    106.68   999.99   -8.374
    108.20   999.99   -8.322
    109.73   999.99   -8.277
    111.25   999.99   -8.234
    112.78   999.99   -8.199
    114.30   999.99   -8.160
    115.82   999.99   -8.117
    117.35   999.99   -8.077
    118.87   999.99   -8.038
    120.40   999.99   -8.000
    121.92   999.99   -7.961
    123.44   999.99   -7.920
    124.97   999.99   -7.886
    126.49   999.99   -7.840
    128.02   999.99   -7.806
    129.54   999.99   -7.776
    131.06   999.99   -7.729
    132.59   999.99   -7.680
    134.11   999.99   -7.643
    135.64   999.99   -7.607
    137.16   999.99   -7.572
    138.68   999.99   -7.531
    140.21   999.99   -7.484
    141.73   999.99   -7.449
    143.26   999.99   -7.404
    144.78   999.99   -7.364
    146.30   999.99   -7.317
    147.83   999.99   -7.272
    149.35   999.99   -7.226
    150.88   999.99   -7.165
    152.40   999.99   -7.125
    153.92   999.99   -7.075
    155.45   999.99   -7.021
    156.97   999.99   -6.965
    158.50   999.99   -6.917
    160.02   999.99   -6.849
    161.54   999.99   -6.814
    163.07   999.99   -6.769
    164.59   999.99   -6.711
    166.12   999.99   -6.653
    167.64   999.99   -6.595
    169.16   999.99   -6.542
    170.69   999.99   -6.485
    172.21   999.99   -6.428
    173.74   999.99   -6.373
    175.26   999.99   -6.325
    176.78   999.99   -6.282
    178.31   999.99   -6.228
    179.83   999.99   -6.176
    181.36   999.99   -6.120
    182.88   999.99   -6.077
    184.40   999.99   -6.020
    185.93   999.99   -5.974
    187.45   999.99   -5.933
    188.98   999.99   -5.881
    190.50   999.99   -5.842
    192.02   999.99   -5.798
    193.55   999.99   -5.753
    195.07   999.99   -5.702
    196.60   999.99   -5.653
    198.12   999.99   -5.615
    199.64   999.99   -5.566
    201.17   999.99   -5.512
    202.69   999.99   -5.462
    204.22   999.99   -5.414
    205.74   999.99   -5.369
    207.26   999.99   -5.315
    208.79   999.99   -5.255
    210.31   999.99   -5.210
    211.84   999.99   -5.158
    213.36   999.99   -5.115
    214.88   999.99   -5.067
    216.41   999.99   -5.014
    217.93   999.99   -4.961
    219.46   999.99   -4.900
    220.98   999.99   -4.858
    222.50   999.99   -4.805
    224.03   999.99   -4.764
    225.55   999.99   -4.724
    227.08   999.99   -4.676
    228.60   999.99   -4.633
    230.12   999.99   -4.586
    231.65   999.99   -4.539
    233.17   999.99   -4.486
    234.70   999.99   -4.439
    236.22   999.99   -4.387
    237.74   999.99   -4.344
    239.27   999.99   -4.307
    240.79   999.99   -4.260
    242.32   999.99   -4.216
    243.84   999.99   -4.168
    245.36   999.99   -4.129
    246.89   999.99   -4.092
    248.41   999.99   -4.054
    249.94   999.99   -4.030
    251.46   999.99   -4.018
