 << U.S. Geological Survey Borehole Temperature Log - Alaska >>
  
 Site:             TLK 
 Log Date:         80SEP15 
 Type of Log:      incremental 
 Type of Sensor:   thermistor network (custom)
 Measuring Device: digital multimeter
 Deconvolved:      N/A
  
  Z   = measured depth (m)
  TVD = true vertical depth (m)
  T   = temperature (C)
  
        Z      TVD       T
     15.24   999.99   -3.837
     18.29   999.99   -4.282
     21.34   999.99   -4.308
     24.38   999.99   -4.172
     27.43   999.99   -4.016
     30.48   999.99   -3.978
     33.53   999.99   -3.962
     36.58   999.99   -3.918
     39.62   999.99   -3.828
     42.67   999.99   -3.791
     45.72   999.99   -3.799
     48.77   999.99   -3.786
     51.82   999.99   -3.692
     54.86   999.99   -3.531
     57.91   999.99   -3.418
     60.96   999.99   -3.395
     64.01   999.99   -3.392
     67.06   999.99   -3.341
     70.10   999.99   -3.219
     73.15   999.99   -3.128
     76.20   999.99   -3.034
     79.25   999.99   -2.959
     82.30   999.99   -2.841
     85.34   999.99   -2.769
     88.39   999.99   -2.721
     91.44   999.99   -2.680
     94.49   999.99   -2.619
     97.54   999.99   -2.552
    100.58   999.99   -2.505
    103.63   999.99   -2.406
    106.68   999.99   -2.389
    109.73   999.99   -2.048
    112.78   999.99   -1.946
    115.82   999.99   -1.836
    118.87   999.99   -1.718
    121.92   999.99   -1.702
    124.97   999.99   -1.869
    128.02   999.99   -1.853
    131.06   999.99   -1.753
    134.11   999.99   -1.683
    137.16   999.99   -1.690
    140.21   999.99   -1.699
    143.26   999.99   -1.627
    146.30   999.99   -1.511
    149.35   999.99   -1.345
    152.40   999.99   -1.174
    155.45   999.99   -1.109
    158.50   999.99   -1.426
    161.54   999.99   -1.429
    164.59   999.99   -1.430
    167.64   999.99   -1.460
    170.69   999.99   -1.448
    173.74   999.99   -1.416
    176.78   999.99   -1.343
    179.83   999.99   -1.243
    182.88   999.99   -1.103
    185.93   999.99    -.959
    188.98   999.99    -.860
    192.02   999.99    -.762
    195.07   999.99    -.611
    198.12   999.99    -.405
    201.17   999.99    -.149
    204.22   999.99    -.133
    207.26   999.99    -.295
    210.31   999.99    -.417
    213.36   999.99    -.423
    216.41   999.99    -.350
    219.46   999.99    -.242
    222.50   999.99    -.064
    225.55   999.99     .094
    228.60   999.99     .258
    231.65   999.99     .516
    234.70   999.99     .733
    237.74   999.99     .980
    240.79   999.99    1.195
    243.84   999.99    1.476
    246.89   999.99    1.787
    249.94   999.99    1.959
    252.98   999.99    2.010
    256.03   999.99    2.063
    259.08   999.99    2.175
    262.13   999.99    2.383
    265.18   999.99    2.689
    268.22   999.99    3.062
    271.27   999.99    3.426
    274.32   999.99    3.788
    277.37   999.99    4.090
    280.42   999.99    4.258
    283.46   999.99    4.359
    286.51   999.99    4.462
    289.56   999.99    4.590
    292.61   999.99    4.784
    295.66   999.99    4.891
    298.70   999.99    4.944
    301.75   999.99    4.975
    304.80   999.99    5.007
    307.85   999.99    5.061
    310.90   999.99    5.137
    313.94   999.99    5.261
    316.99   999.99    5.387
    320.04   999.99    5.520
    323.09   999.99    5.649
    326.14   999.99    5.722
    329.18   999.99    5.797
    332.23   999.99    5.891
    335.28   999.99    6.073
    338.33   999.99    6.316
    341.38   999.99    6.469
    344.42   999.99    6.466
    347.47   999.99    6.386
    350.52   999.99    6.388
    353.57   999.99    6.464
    356.62   999.99    6.592
    359.66   999.99    6.731
    362.71   999.99    6.893
    365.76   999.99    7.002
    368.81   999.99    7.110
    371.86   999.99    7.202
    374.90   999.99    7.288
    377.95   999.99    7.394
    381.00   999.99    7.541
    384.05   999.99    7.671
    387.10   999.99    7.723
    390.14   999.99    7.748
    393.19   999.99    7.812
    396.24   999.99    7.912
    399.29   999.99    8.014
    402.34   999.99    8.165
    405.38   999.99    8.271
    408.43   999.99    8.391
    411.48   999.99    8.546
    414.53   999.99    8.756
    417.58   999.99    8.944
    420.62   999.99    9.076
    423.67   999.99    9.190
    426.72   999.99    9.364
    429.77   999.99    9.548
    432.82   999.99    9.718
    435.86   999.99    9.751
    438.91   999.99    9.743
    441.96   999.99    9.794
    445.01   999.99    9.934
    448.06   999.99   10.054
    451.10   999.99   10.174
    454.15   999.99   10.253
    457.20   999.99   10.343
    460.25   999.99   10.438
    463.30   999.99   10.532
    466.34   999.99   10.628
    469.39   999.99   10.719
    472.44   999.99   10.808
    475.49   999.99   10.957
    478.54   999.99   11.122
    481.58   999.99   11.220
    484.63   999.99   11.297
    487.68   999.99   11.351
    490.73   999.99   11.365
    493.78   999.99   11.353
    496.83   999.99   11.372
    499.87   999.99   11.451
    502.92   999.99   11.576
    505.97   999.99   11.718
    509.02   999.99   11.916
    512.07   999.99   12.034
    515.11   999.99   12.197
    518.16   999.99   12.351
    521.21   999.99   12.455
    524.26   999.99   12.525
    527.31   999.99   12.787
    530.35   999.99   12.919
    533.40   999.99   12.942
    536.45   999.99   12.943
    539.50   999.99   12.914
    542.55   999.99   13.064
    545.59   999.99   13.057
