 << U.S. Geological Survey Borehole Temperature Log - Alaska >>
  
 Site:             WDS 
 Log Date:         83AUG28 
 Type of Log:      incremental 
 Type of Sensor:   thermistor network (custom)
 Measuring Device: digital multimeter
 Deconvolved:      N/A
  
  Z   = measured depth (m)
  TVD = true vertical depth (m)
  T   = temperature (C)
  
        Z      TVD       T
     36.58   999.99   -9.004
     39.62   999.99   -9.045
     42.67   999.99   -9.054
     45.72   999.99   -9.055
     48.77   999.99   -9.041
     51.82   999.99   -9.020
     54.86   999.99   -8.998
     57.91   999.99   -8.955
     60.96   999.99   -8.877
     64.01   999.99   -8.827
     67.06   999.99   -8.695
     70.10   999.99   -8.654
     73.15   999.99   -8.596
     76.20   999.99   -8.530
     79.25   999.99   -8.447
     82.30   999.99   -8.365
     85.34   999.99   -8.260
     88.39   999.99   -8.167
     91.44   999.99   -8.070
     94.49   999.99   -7.952
     97.54   999.99   -7.854
    100.58   999.99   -7.747
    103.63   999.99   -7.603
    106.68   999.99   -7.473
    109.73   999.99   -7.340
    112.78   999.99   -7.225
    115.82   999.99   -7.106
    118.87   999.99   -6.996
    121.92   999.99   -6.855
    124.97   999.99   -6.760
    128.02   999.99   -6.632
    131.06   999.99   -6.513
    134.11   999.99   -6.403
    137.16   999.99   -6.267
    140.21   999.99   -6.135
    143.26   999.99   -6.009
    146.30   999.99   -5.894
    149.35   999.99   -5.754
    152.40   999.99   -5.634
    155.45   999.99   -5.500
    158.50   999.99   -5.368
    161.54   999.99   -5.247
    164.59   999.99   -5.113
    167.64   999.99   -4.979
    170.69   999.99   -4.869
    173.74   999.99   -4.725
    176.78   999.99   -4.603
    179.83   999.99   -4.467
    182.88   999.99   -4.304
    185.93   999.99   -4.194
    188.98   999.99   -4.055
    192.02   999.99   -3.918
    195.07   999.99   -3.780
    198.12   999.99   -3.652
    201.17   999.99   -3.527
    204.22   999.99   -3.411
    207.26   999.99   -3.259
    210.31   999.99   -3.134
    213.36   999.99   -2.958
    216.41   999.99   -2.815
    219.46   999.99   -2.670
    222.50   999.99   -2.564
    225.55   999.99   -2.422
    228.60   999.99   -2.278
    231.65   999.99   -2.144
    234.70   999.99   -1.987
    237.74   999.99   -1.844
    240.79   999.99   -1.710
    243.84   999.99   -1.551
    246.89   999.99   -1.422
    249.94   999.99   -1.259
    252.98   999.99   -1.126
    256.03   999.99    -.962
    259.08   999.99    -.841
    262.13   999.99    -.712
    265.18   999.99    -.599
    268.22   999.99    -.440
    271.27   999.99    -.298
    274.32   999.99    -.144
    277.37   999.99    -.008
    280.42   999.99     .142
    283.46   999.99     .277
    286.51   999.99     .400
    289.56   999.99     .516
    292.61   999.99     .632
    295.66   999.99     .762
    298.70   999.99     .874
    301.75   999.99     .980
    304.80   999.99    1.093
    310.90   999.99    1.327
    316.99   999.99    1.577
    323.09   999.99    1.823
    329.18   999.99    2.051
    335.28   999.99    2.297
    341.38   999.99    2.555
    347.47   999.99    2.781
    353.57   999.99    3.009
    359.66   999.99    3.272
    365.76   999.99    3.525
    371.86   999.99    3.771
    377.95   999.99    4.015
    384.05   999.99    4.317
    390.14   999.99    4.551
    396.24   999.99    4.826
    402.34   999.99    5.085
    408.43   999.99    5.305
    414.53   999.99    5.566
    420.62   999.99    5.783
    426.72   999.99    6.035
    432.82   999.99    6.277
    438.91   999.99    6.520
    445.01   999.99    6.768
    451.10   999.99    7.015
    457.20   999.99    7.322
    463.30   999.99    7.561
    469.39   999.99    7.820
    475.49   999.99    8.131
    481.58   999.99    8.412
    487.68   999.99    8.690
    493.78   999.99    8.969
    499.87   999.99    9.259
    505.97   999.99    9.560
    512.07   999.99    9.818
    518.16   999.99   10.106
    524.26   999.99   10.365
    530.35   999.99   10.659
    536.45   999.99   10.911
    542.55   999.99   11.194
    548.64   999.99   11.478
    554.74   999.99   11.739
    560.83   999.99   12.003
    566.93   999.99   12.275
    573.03   999.99   12.541
    579.12   999.99   12.785
    585.22   999.99   13.042
    591.31   999.99   13.273
    597.41   999.99   13.553
    603.51   999.99   13.834
    609.60   999.99   14.134
    615.70   999.99   14.415
    621.79   999.99   14.733
    627.89   999.99   15.055
    633.99   999.99   15.378
    640.08   999.99   15.741
    646.18   999.99   16.045
    652.27   999.99   16.352
    658.37   999.99   16.673
    664.47   999.99   16.964
    670.56   999.99   17.271
    676.66   999.99   17.577
    682.75   999.99   17.845
    688.85   999.99   18.097
    694.95   999.99   18.298
    701.04   999.99   18.532
    707.14   999.99   18.780
    713.23   999.99   19.061
    719.33   999.99   19.339
    725.43   999.99   19.627
    731.52   999.99   19.907
    737.62   999.99   20.197
    743.71   999.99   20.424
    749.81   999.99   20.870
    755.91   999.99   21.042
    762.00   999.99   21.378
    768.10   999.99   21.729
    774.19   999.99   22.079
    780.29   999.99   22.423
    786.39   999.99   22.730
    792.48   999.99   22.998
    798.58   999.99   23.327
    804.67   999.99   23.689
    810.77   999.99   23.875
    816.87   999.99   24.194
    822.96   999.99   24.284
