 << U.S. Geological Survey Borehole Temperature Log - Alaska >>
  
 Site:             WK14
 Log Date:         87AUG26 
 Type of Log:      continuous  
 Type of Sensor:   thermistor network (custom)
 Measuring Device: digital multimeter
 Deconvolved:      no 
  
  Z   = measured depth (m)
  TVD = true vertical depth (m)
  T   = temperature (C)
  
        Z      TVD       T
      1.83   999.99    6.111
      2.13   999.99    1.423
      2.44   999.99   -1.148
      2.74   999.99   -2.488
      3.05   999.99   -3.253
      3.35   999.99   -3.921
      3.66   999.99   -4.570
      3.96   999.99   -5.158
      4.27   999.99   -5.663
      4.57   999.99   -6.157
      4.88   999.99   -6.584
      5.18   999.99   -6.932
      5.49   999.99   -7.321
      5.79   999.99   -7.649
      6.10   999.99   -7.895
      6.40   999.99   -8.163
      6.71   999.99   -8.407
      7.01   999.99   -8.589
      7.32   999.99   -8.757
      7.62   999.99   -8.914
      7.92   999.99   -9.039
      8.23   999.99   -9.138
      8.53   999.99   -9.240
      8.84   999.99   -9.330
      9.14   999.99   -9.415
      9.45   999.99   -9.484
      9.75   999.99   -9.541
     10.06   999.99   -9.582
     10.36   999.99   -9.613
     10.67   999.99   -9.635
     10.97   999.99   -9.653
     11.28   999.99   -9.667
     11.58   999.99   -9.678
     11.89   999.99   -9.685
     12.19   999.99   -9.691
     12.50   999.99   -9.695
     12.80   999.99   -9.697
     13.11   999.99   -9.696
     13.41   999.99   -9.692
     13.72   999.99   -9.687
     14.02   999.99   -9.679
     14.33   999.99   -9.673
     14.63   999.99   -9.668
     14.94   999.99   -9.661
     15.24   999.99   -9.655
     15.54   999.99   -9.647
     15.85   999.99   -9.639
     16.15   999.99   -9.628
     16.46   999.99   -9.605
     16.76   999.99   -9.600
     17.07   999.99   -9.596
     17.37   999.99   -9.594
     17.68   999.99   -9.592
     17.98   999.99   -9.590
     18.29   999.99   -9.588
     18.59   999.99   -9.585
     18.90   999.99   -9.580
     19.20   999.99   -9.569
     19.51   999.99   -9.498
     19.81   999.99   -9.450
     20.12   999.99   -9.428
     20.42   999.99   -9.413
     20.73   999.99   -9.405
     21.03   999.99   -9.402
     21.34   999.99   -9.403
     21.64   999.99   -9.404
     21.95   999.99   -9.406
     22.25   999.99   -9.409
     22.56   999.99   -9.411
     22.86   999.99   -9.415
     23.16   999.99   -9.420
     23.47   999.99   -9.423
     23.77   999.99   -9.426
     24.08   999.99   -9.430
     24.38   999.99   -9.436
     24.69   999.99   -9.442
     24.99   999.99   -9.445
     25.30   999.99   -9.451
     25.60   999.99   -9.456
     25.91   999.99   -9.460
     26.21   999.99   -9.464
     26.52   999.99   -9.466
     26.82   999.99   -9.467
     27.13   999.99   -9.471
     27.43   999.99   -9.474
     27.74   999.99   -9.475
     28.04   999.99   -9.477
     28.35   999.99   -9.479
     28.65   999.99   -9.484
     28.96   999.99   -9.490
     29.26   999.99   -9.492
     29.57   999.99   -9.493
     29.87   999.99   -9.495
     30.18   999.99   -9.495
     30.48   999.99   -9.495
     30.78   999.99   -9.495
     31.09   999.99   -9.494
     31.39   999.99   -9.492
     31.70   999.99   -9.487
     32.00   999.99   -9.474
     32.31   999.99   -9.447
     32.61   999.99   -9.431
     32.92   999.99   -9.425
     33.22   999.99   -9.422
     33.53   999.99   -9.420
     33.83   999.99   -9.417
     34.14   999.99   -9.415
     34.44   999.99   -9.413
     34.75   999.99   -9.411
     35.05   999.99   -9.408
     35.36   999.99   -9.407
     35.66   999.99   -9.405
     35.97   999.99   -9.402
     36.27   999.99   -9.399
     36.58   999.99   -9.396
     36.88   999.99   -9.394
     37.19   999.99   -9.392
     37.49   999.99   -9.390
     37.80   999.99   -9.387
     38.10   999.99   -9.385
     38.40   999.99   -9.381
     38.71   999.99   -9.377
