 << U.S. Geological Survey Borehole Temperature Log - Alaska >>
  
 Site:             WK17
 Log Date:         87SEP02a
 Type of Log:      continuous  
 Type of Sensor:   thermistor network (custom)
 Measuring Device: digital multimeter
 Deconvolved:      no 
  
  Z   = measured depth (m)
  TVD = true vertical depth (m)
  T   = temperature (C)
  
        Z      TVD       T
       .00   999.99    1.766
       .30   999.99    1.743
       .61   999.99    1.506
       .91   999.99    1.382
      1.22   999.99    1.200
      1.52   999.99    1.016
      1.83   999.99     .873
      2.13   999.99     .705
      2.44   999.99     .484
      2.74   999.99     .276
      3.05   999.99    -.022
      3.35   999.99    -.462
      3.66   999.99   -1.023
      3.96   999.99   -1.627
      4.27   999.99   -2.249
      4.57   999.99   -2.781
      4.88   999.99   -3.378
      5.18   999.99   -3.964
      5.49   999.99   -4.464
      5.79   999.99   -4.970
      6.10   999.99   -5.430
      6.40   999.99   -5.847
      6.71   999.99   -6.293
      7.01   999.99   -6.511
      7.32   999.99   -5.872
      7.62   999.99   -6.099
      7.92   999.99   -6.598
      8.23   999.99   -7.110
      8.53   999.99   -7.531
      8.84   999.99   -7.898
      9.14   999.99   -8.253
      9.45   999.99   -8.545
      9.75   999.99   -8.844
     10.06   999.99   -9.098
     10.36   999.99   -9.309
     10.67   999.99   -9.509
     10.97   999.99   -9.693
     11.28   999.99   -9.821
     11.58   999.99   -9.945
     11.89   999.99  -10.047
     12.50   999.99  -10.210
     12.80   999.99  -10.272
     13.11   999.99  -10.331
     13.41   999.99  -10.374
     13.72   999.99  -10.409
     14.02   999.99  -10.434
     14.33   999.99  -10.461
     14.63   999.99  -10.477
     14.94   999.99  -10.489
     15.24   999.99  -10.496
     15.54   999.99  -10.500
     15.85   999.99  -10.502
     16.15   999.99  -10.501
     16.46   999.99  -10.499
     16.76   999.99  -10.495
     17.07   999.99  -10.490
     17.37   999.99  -10.482
     17.68   999.99  -10.469
     17.98   999.99  -10.458
     18.29   999.99  -10.447
     18.59   999.99  -10.439
     18.90   999.99  -10.427
     19.20   999.99  -10.413
     19.51   999.99  -10.401
     19.81   999.99  -10.392
     20.12   999.99  -10.378
     20.42   999.99  -10.367
     20.73   999.99  -10.356
     21.03   999.99  -10.339
     21.34   999.99  -10.325
     21.64   999.99  -10.312
     21.95   999.99  -10.300
     22.25   999.99  -10.284
     22.56   999.99  -10.273
     22.86   999.99  -10.257
     23.16   999.99  -10.243
     23.47   999.99  -10.233
     23.77   999.99  -10.221
     24.08   999.99  -10.207
     24.38   999.99  -10.192
     24.69   999.99  -10.175
     24.99   999.99  -10.159
     25.30   999.99  -10.144
     25.60   999.99  -10.135
     25.91   999.99  -10.119
     26.21   999.99  -10.106
     26.52   999.99  -10.090
     26.82   999.99  -10.077
     27.13   999.99  -10.063
     27.43   999.99  -10.052
     27.74   999.99  -10.044
     28.04   999.99  -10.031
     28.35   999.99  -10.018
     28.65   999.99  -10.007
     28.96   999.99   -9.997
     29.26   999.99   -9.983
     29.57   999.99   -9.973
     29.87   999.99   -9.963
     30.18   999.99   -9.953
     30.48   999.99   -9.939
     30.78   999.99   -9.930
     31.09   999.99   -9.920
     31.39   999.99   -9.909
     31.70   999.99   -9.897
     32.00   999.99   -9.888
     32.31   999.99   -9.879
     32.61   999.99   -9.863
     32.92   999.99   -9.852
     33.22   999.99   -9.843
     33.53   999.99   -9.837
     33.83   999.99   -9.829
     34.14   999.99   -9.821
     34.44   999.99   -9.811
     34.75   999.99   -9.802
     35.05   999.99   -9.796
     35.36   999.99   -9.788
     35.66   999.99   -9.780
     35.97   999.99   -9.767
     36.27   999.99   -9.755
     36.58   999.99   -9.742
     36.88   999.99   -9.731
     37.19   999.99   -9.723
     37.49   999.99   -9.717
     37.80   999.99   -9.710
     38.10   999.99   -9.697
     38.40   999.99   -9.687
     38.71   999.99   -9.678
     39.01   999.99   -9.668
     39.32   999.99   -9.659
     39.62   999.99   -9.652
     39.93   999.99   -9.644
     40.23   999.99   -9.639
     40.54   999.99   -9.632
     40.84   999.99   -9.625
     41.15   999.99   -9.617
     41.45   999.99   -9.609
     41.76   999.99   -9.602
     42.06   999.99   -9.596
     42.37   999.99   -9.591
     42.67   999.99   -9.585
     42.98   999.99   -9.578
     43.28   999.99   -9.570
     43.59   999.99   -9.564
     43.89   999.99   -9.557
     44.20   999.99   -9.550
     44.50   999.99   -9.546
     44.81   999.99   -9.540
     45.11   999.99   -9.534
     45.42   999.99   -9.529
     45.72   999.99   -9.523
     46.02   999.99   -9.518
     46.33   999.99   -9.512
     46.63   999.99   -9.507
     46.94   999.99   -9.503
     47.24   999.99   -9.499
     47.55   999.99   -9.494
     47.85   999.99   -9.487
     48.16   999.99   -9.480
     48.46   999.99   -9.475
     48.77   999.99   -9.470
     49.07   999.99   -9.465
     49.38   999.99   -9.460
     49.68   999.99   -9.457
     49.99   999.99   -9.451
     50.29   999.99   -9.446
