 << U.S. Geological Survey Borehole Temperature Log - Alaska >>
  
 Site:             WK17
 Log Date:         87SEP02b
 Type of Log:      continuous  
 Type of Sensor:   thermistor network (custom)
 Measuring Device: digital multimeter
 Deconvolved:      no 
  
  Z   = measured depth (m)
  TVD = true vertical depth (m)
  T   = temperature (C)
  
        Z      TVD       T
     30.48   999.99   -9.863
     30.78   999.99   -9.860
     31.09   999.99   -9.859
     31.39   999.99   -9.857
     31.70   999.99   -9.852
     32.00   999.99   -9.847
     32.31   999.99   -9.841
     32.61   999.99   -9.833
     32.92   999.99   -9.821
     33.22   999.99   -9.811
     33.53   999.99   -9.805
     33.83   999.99   -9.799
     34.14   999.99   -9.792
     34.44   999.99   -9.786
     34.75   999.99   -9.777
     35.05   999.99   -9.768
     35.36   999.99   -9.760
     35.66   999.99   -9.753
     35.97   999.99   -9.743
     36.27   999.99   -9.732
     36.58   999.99   -9.718
     36.88   999.99   -9.707
     37.19   999.99   -9.699
     37.49   999.99   -9.695
     37.80   999.99   -9.686
     38.10   999.99   -9.677
     38.40   999.99   -9.667
     38.71   999.99   -9.657
     39.01   999.99   -9.646
     39.32   999.99   -9.638
     39.62   999.99   -9.631
     39.93   999.99   -9.623
     40.23   999.99   -9.613
     40.54   999.99   -9.605
     40.84   999.99   -9.597
     41.15   999.99   -9.590
     41.45   999.99   -9.581
     41.76   999.99   -9.573
     42.06   999.99   -9.568
     42.37   999.99   -9.563
     42.67   999.99   -9.558
     42.98   999.99   -9.551
     43.28   999.99   -9.545
     43.59   999.99   -9.539
     43.89   999.99   -9.534
     44.20   999.99   -9.526
     44.50   999.99   -9.519
     44.81   999.99   -9.516
     45.11   999.99   -9.511
     45.42   999.99   -9.505
     45.72   999.99   -9.499
     46.02   999.99   -9.493
     46.33   999.99   -9.488
     46.63   999.99   -9.484
     46.94   999.99   -9.478
     47.24   999.99   -9.473
     47.55   999.99   -9.468
     47.85   999.99   -9.464
     48.16   999.99   -9.459
     48.46   999.99   -9.456
     48.77   999.99   -9.451
     49.07   999.99   -9.446
     49.38   999.99   -9.441
     49.68   999.99   -9.437
     49.99   999.99   -9.433
     50.29   999.99   -9.427
     50.60   999.99   -9.423
     50.90   999.99   -9.420
     51.21   999.99   -9.416
     51.51   999.99   -9.412
     51.82   999.99   -9.409
     52.12   999.99   -9.405
     52.43   999.99   -9.401
     52.73   999.99   -9.397
     53.04   999.99   -9.393
     53.34   999.99   -9.389
     53.64   999.99   -9.386
     53.95   999.99   -9.383
     54.25   999.99   -9.379
     54.56   999.99   -9.375
     54.86   999.99   -9.373
     55.17   999.99   -9.371
     55.47   999.99   -9.368
     55.78   999.99   -9.365
     56.08   999.99   -9.362
     56.39   999.99   -9.360
     56.69   999.99   -9.358
     57.00   999.99   -9.355
     57.30   999.99   -9.354
     57.61   999.99   -9.350
     57.91   999.99   -9.349
     58.22   999.99   -9.346
     58.52   999.99   -9.344
     58.83   999.99   -9.341
     59.13   999.99   -9.339
     59.44   999.99   -9.337
     59.74   999.99   -9.335
     60.05   999.99   -9.333
     60.35   999.99   -9.330
     60.66   999.99   -9.328
     60.96   999.99   -9.326
     61.26   999.99   -9.323
     61.57   999.99   -9.321
     61.87   999.99   -9.320
     62.18   999.99   -9.318
     62.48   999.99   -9.316
     62.79   999.99   -9.314
     63.09   999.99   -9.312
     63.40   999.99   -9.309
     63.70   999.99   -9.307
     64.01   999.99   -9.305
     64.31   999.99   -9.303
     64.62   999.99   -9.302
     64.92   999.99   -9.300
     65.23   999.99   -9.298
     65.53   999.99   -9.295
     65.84   999.99   -9.295
     66.14   999.99   -9.292
     66.45   999.99   -9.291
     66.75   999.99   -9.289
     67.06   999.99   -9.288
     67.36   999.99   -9.286
     67.67   999.99   -9.283
     67.97   999.99   -9.281
     68.28   999.99   -9.279
     68.58   999.99   -9.278
     68.88   999.99   -9.277
     69.19   999.99   -9.276
     69.49   999.99   -9.273
     69.80   999.99   -9.270
     70.10   999.99   -9.267
     70.41   999.99   -9.264
     70.71   999.99   -9.262
     71.02   999.99   -9.259
     71.32   999.99   -9.256
     71.63   999.99   -9.253
     71.93   999.99   -9.249
     72.24   999.99   -9.247
     72.54   999.99   -9.243
     72.85   999.99   -9.240
     73.15   999.99   -9.238
     73.46   999.99   -9.235
     73.76   999.99   -9.232
     74.07   999.99   -9.230
     74.37   999.99   -9.228
     74.68   999.99   -9.226
     74.98   999.99   -9.224
     75.29   999.99   -9.221
     75.59   999.99   -9.219
     75.90   999.99   -9.218
     76.20   999.99   -9.215
     76.50   999.99   -9.213
     76.81   999.99   -9.212
     77.11   999.99   -9.210
     77.42   999.99   -9.208
     77.72   999.99   -9.206
     78.03   999.99   -9.204
     78.33   999.99   -9.202
     78.64   999.99   -9.199
     78.94   999.99   -9.196
     79.25   999.99   -9.194
     79.55   999.99   -9.193
     79.86   999.99   -9.190
     80.16   999.99   -9.188
     80.47   999.99   -9.185
     80.77   999.99   -9.184
     81.08   999.99   -9.181
     81.38   999.99   -9.180
     81.69   999.99   -9.178
     81.99   999.99   -9.178
     82.30   999.99   -9.175
     82.60   999.99   -9.174
     82.91   999.99   -9.171
     83.21   999.99   -9.170
     83.52   999.99   -9.167
     83.82   999.99   -9.165
     84.12   999.99   -9.163
     84.43   999.99   -9.162
     84.73   999.99   -9.160
     85.04   999.99   -9.158
     85.34   999.99   -9.155
     85.65   999.99   -9.153
     85.95   999.99   -9.150
