lat, long
46.220316, -124.007032
46.178493, -123.858717
46.189903, -123.743360
46.193705, -123.628004
46.250713, -123.534620
46.243116, -123.446730
46.167082, -123.419264
46.144251, -123.331373
46.148057, -123.232496
46.186100, -123.161085
46.075702, -122.902906
45.945988, -122.809523
45.743179, -122.765577
45.643418, -122.765577
45.539632, -122.320631
45.693321, -121.853712
45.724008, -121.507643
45.670295, -121.227491
45.597315, -121.161573
45.658778, -121.062696
45.635737, -120.914381
45.743179, -120.639723
45.735512, -120.562818
45.689484, -120.491407
45.720173, -120.216749
45.858067, -119.700392
45.934528, -119.585035
45.926886, -119.068678
46.003252, -118.986280
46.007068, -116.920851
45.831281, -116.767042
45.754679, -116.547316
45.608844, -116.459425
44.986747, -116.849440
44.928440, -116.832960
44.784363, -116.942823
44.737558, -117.047193
44.479453, -117.233961
44.294951, -117.211988
44.176880, -116.898878
43.829171, -117.025221
41.994808, -117.025221
41.998890, -124.221266
42.109016, -124.353102
42.324635, -124.435499
42.571888, -124.391554
42.834280, -124.561842
43.235793, -124.391554
43.331765, -124.397047
43.435564, -124.287184
43.955846, -124.149855
44.491210, -124.083937
44.788262, -124.072950
45.489592, -123.985060
45.716338, -123.946607
45.766176, -123.990553
45.957445, -123.996046
45.980353, -123.935621
46.087133, -123.941114
46.220316, -124.023512



